seed	team	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	ustaRnk	usta	coachRnk
 1	FLA  	23	 2	  1	98.654	 1	100.000	 1	100.000	 1	9.500	 1	80.65	 2	81.085	 2	302	 2
 2	BAY  	32	 4	  2	97.526	 3	 98.996	 3	 99.005	 3	8.907	 7	79.86	 1	83.326	 3	292	 1
 3	TENN 	27	 3	  3	97.216	 2	 99.239	 2	 99.035	 2	9.186	 3	80.14	 3	74.511	 6	290	 3
 4	TEX  	23	 5	  5	93.702	 4	 98.420	 8	 97.832	 8	8.654	12	79.13	 4	74.244	 8	263	 4
 5	UVA  	23	 3	  4	96.389	 5	 98.380	 4	 98.601	 4	8.905	 4	80.12	 5	74.106	 1	320	 5
 6	UNC  	21	 4	  6	93.527	 7	 98.000	 5	 98.186	 6	8.766	 9	79.70	 6	72.279	 7	282	 6
 7	TCU  	19	 7	  7	92.607	 8	 97.504	 7	 97.930	 5	8.882	 8	79.78	 7	69.220	11	217	 7
 8	A&M  	18	 8	  9	90.130	 9	 96.495	11	 96.976	 9	8.587	10	79.64	 8	63.687	16	156	 8
 9	UCF  	22	 4	 13	87.925	14	 95.367	15	 95.911	11	8.510	15	78.91	10	54.953	12	199	 9
10	WAKE 	29	 7	 12	88.286	13	 95.416	12	 96.236	14	8.308	11	79.49	 9	57.043	14	196	10
11	UGA  	17	 6	 14	86.449	12	 95.805	13	 96.188	13	8.349	19	78.43	11	54.914	18	131	11
12	USC  	23	 6	  8	91.455	11	 96.096	10	 97.085	 7	8.722	 2	80.36	12	52.235	15	169	12
13	SCAR 	17	10	 15	85.086	15	 94.826	14	 95.964	16	8.170	17	78.72	13	51.062	17	133	13
14	UK   	19	 8	 16	83.267	19	 94.071	17	 95.444	19	8.051	14	78.92	15	44.806	19	111	15
15	MISS 	13	11	 19	80.907	18	 94.089	19	 95.041	21	7.931	25	77.69	14	44.944	23	 73	16
16	ILL  	23	 3	 10	89.687	 6	 98.088	 6	 98.067	12	8.489	13	79.10	17	40.136	10	231	13
R2	OSU  	22	 4	 11	88.661	10	 96.323	 9	 97.119	10	8.587	 5	80.05	35	25.053	 9	239	17
R2	STAN 	11	 6	 17	82.829	21	 93.704	21	 94.466	18	8.062	 6	79.99	21	34.549	22	 85	20
R2	ARIZ 	21	 8	 18	82.205	17	 94.356	18	 95.247	15	8.286	18	78.60	18	38.972	20	 90	19
R2	MSST 	18	 9	 21	79.755	20	 93.995	20	 94.731	22	7.828	22	77.98	16	41.294	25	 44	18
R2	AZST 	17	 9	 22	77.893	22	 93.043	23	 93.805	24	7.760	23	77.84	20	34.844	21	 88	22
R2	UCLA 	13	 7	 23	77.879	23	 92.753	22	 93.838	20	7.978	16	78.88	23	32.534	24	 52	29
R2	OKST 	10	12	 24	76.772	24	 92.732	24	 93.771	27	7.580	21	78.33	19	35.308	RV	  2	21
R2	NCST 	11	 9	 25	73.919	26	 92.058	25	 93.649	29	7.562	24	77.74	24	32.380	27	 14	28
R2	TULN 	15	 8	 26	73.480	28	 91.925	26	 93.363	25	7.664	30	76.94	22	33.073	  	   	24
R2	PEPP 	16	 7	 27	72.957	27	 91.996	30	 92.835	23	7.826	26	77.68	28	28.905	26	 27	30
R2	OKLA 	11	15	 28	71.849	25	 92.168	27	 93.222	33	7.429	28	77.26	27	29.420	  	   	26
R2	TTU  	13	 8	 29	71.676	30	 91.883	31	 92.816	26	7.591	32	76.80	25	31.236	RV	  2	27
R2	BAMA 	14	12	 30	69.778	31	 91.414	32	 92.690	36	7.316	31	76.92	26	30.960	  	   	25
R2	USF  	17	10	 31	68.199	33	 91.299	29	 92.939	30	7.530	35	76.55	31	26.037	  	   	33
R2	GT   	13	10	 32	67.241	40	 90.425	33	 92.320	31	7.517	38	76.42	30	27.754	RV	  3	31
R2	ND   	15	11	 39	62.624	43	 89.512	43	 91.342	37	7.307	37	76.51	34	25.295	  	   	37
R3	MICH 	15	 5	 20	80.477	16	 94.489	16	 95.458	17	8.143	20	78.37	45	14.687	12	199	23
R3	VT   	12	10	 33	66.229	35	 90.733	36	 92.086	35	7.342	36	76.53	29	28.222	  	   	34
R3	NW   	14	 8	 34	66.083	29	 91.915	28	 93.195	32	7.505	27	77.48	50	 7.820	  	   	46
R3	VCU  	17	 5	 35	65.830	36	 90.657	35	 92.108	34	7.365	29	77.13	36	24.271	  	   	38
R3	ORE  	17	 7	 36	65.816	32	 91.398	38	 92.051	28	7.571	33	76.76	37	23.364	  	   	41
R3	WICH 	15	 9	 37	64.842	34	 90.767	39	 91.960	38	7.288	39	76.02	33	25.336	  	   	32
R3	DUKE 	12	11	 38	64.712	41	 90.274	34	 92.144	39	7.272	34	76.60	32	25.716	  	   	36
R3	MEM  	10	 9	 40	62.578	37	 90.643	37	 92.078	42	7.164	42	75.40	38	22.098	  	   	35
R3	LSU  	12	13	 41	60.376	38	 90.565	40	 91.943	47	6.780	43	75.32	40	19.168	  	   	39
R3	MIA  	 8	11	 42	60.179	44	 89.380	41	 91.461	41	7.190	40	75.52	39	19.492	  	   	43
