seed	team	name	kind	position	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses	r2Id	r2Id2
 1	UNC  	Sara Daavettila            	S	 1	10	 1	 5	0	  	  	  	  	  	 	  	 	15	 1	15	 1	400079	      
 1	UNC  	Alexa Graham               	S	 2	 3	 2	 5	0	3 	0 	  	  	  	 	  	 	11	 2	16	 2	411298	      
 1	UNC  	Cameron Morra              	S	 3	 2	 0	 7	4	6 	2 	  	  	  	 	  	 	15	 6	15	 6	488643	      
 1	UNC  	Elizabeth Scotty           	S	 4	  	  	  	 	5 	1 	6 	1 	  	 	  	 	11	 2	11	 3	520732	      
 1	UNC  	Makenna Jones              	S	 5	  	  	 2	0	3 	0 	7 	0 	1 	2	  	 	13	 2	15	 2	419691	      
 1	UNC  	Fiona Crawley              	S	 6	 2	 0	  	 	1 	0 	8 	0 	9 	0	3 	0	23	 0	25	 0	564453	      
 1	UNC  	Reilly Tran                	S	 7	  	  	  	 	  	  	1 	0 	5 	0	9 	0	15	 0	17	 0	564465	      
 1	UNC  	Anika Yarlagadda           	S	 8	  	  	  	 	2 	0 	1 	0 	5 	0	3 	1	11	 1	13	 1	510762	      
 1	UNC  	Alle Sanford               	S	 9	  	  	  	 	  	  	1 	0 	1 	0	3 	0	 5	 0	 5	 2	448680	      
 1	UNC  	Kacie Harvey               	S	10	  	  	  	 	  	  	  	  	  	 	3 	0	 3	 0	 3	 1	510761	      
 1	UNC  	Sophia Patel               	S	11	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 2	486925	      
 1	UNC  	Sara McClure               	S	12	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 1	564464	      
 1	UNC  	Anna Harmon                	S	13	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	      	      
 1	UNC  	Daavettila/Morra           	D	 1	10	 1	  	 	  	  	  	  	  	 	  	 	10	 1	10	 1	400079	488643
 1	UNC  	Jones/Scotty               	D	 2	 1	 0	 8	1	1 	0 	  	  	  	 	  	 	10	 1	10	 1	419691	520732
 1	UNC  	Sanford/Tran               	D	 3	  	  	 4	0	12	3 	  	  	  	 	  	 	16	 3	16	 3	448680	564465
 1	UNC  	Crawley/Graham             	D	 4	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	564453	411298
