line	seed	team	kind	position	player	partner	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses
1	1	UNC  	S	1	Sara Daavettila          	                         	10	1	5	0									15	1	15	1
1	1	UNC  	S	2	Alexa Graham             	                         	3	2	5	0	3	0							11	2	16	2
1	1	UNC  	S	3	Cameron Morra            	                         	2	0	7	4	6	2							15	6	15	6
1	1	UNC  	S	4	Elizabeth Scotty         	                         					5	1	6	1					11	2	11	3
1	1	UNC  	S	5	Makenna Jones            	                         			2	0	3	0	7	0	1	2			13	2	15	2
1	1	UNC  	S	6	Fiona Crawley            	                         	2	0			1	0	8	0	9	0	3	0	23	0	25	0
1	1	UNC  	S	7	Reilly Tran              	                         							1	0	5	0	9	0	15	0	17	0
1	1	UNC  	S	8	Anika Yarlagadda         	                         					2	0	1	0	5	0	3	1	11	1	13	1
1	1	UNC  	S	9	Alle Sanford             	                         							1	0	1	0	3	0	5	0	5	2
1	1	UNC  	S	10	Kacie Harvey             	                         											3	0	3	0	3	1
1	1	UNC  	S	11	Sophia Patel             	                         													0	0	0	2
1	1	UNC  	S	12	Sara McClure             	                         													0	0	0	1
1	1	UNC  	S	13	Anna Harmon              	                         													0	0	0	0
1	1	UNC  	D	1	Sara Daavettila          	Cameron Morra            	10	1											10	1	10	1
1	1	UNC  	D	2	Makenna Jones            	Elizabeth Scotty         	1	0	8	1	1	0							10	1	10	1
1	1	UNC  	D	3	Alle Sanford             	Reilly Tran              			4	0	12	3							16	3	16	3
1	1	UNC  	D	4	Fiona Crawley            	Alexa Graham             													0	0	0	0
64	2	TEX  	S	1	Peyton Stearns           	                         	10	3											10	3	14	6
64	2	TEX  	S	2	Anna Turati              	                         	5	1	9	2	3	0							17	3	17	3
64	2	TEX  	S	3	Lulu Sun                 	                         			6	1	12	1							18	2	18	2
64	2	TEX  	S	4	Charlotte Chavatipon     	                         			2	0	2	0	16	1					20	1	23	1
64	2	TEX  	S	5	Kylie Collins            	                         					2	0	4	0	9	2	1	0	16	2	16	2
64	2	TEX  	S	6	Fernanda Labrana         	                         							3	0	6	0	5	1	14	1	21	2
64	2	TEX  	S	7	Malaika Rapolu           	                         					1	0	1	0	2	0	13	1	17	1	24	2
64	2	TEX  	S	8	marta perez mur          	                         									1	0	2	0	3	0	9	2
64	2	TEX  	S	9	Tijana Spasojevic        	                         											1	0	1	0	1	0
64	2	TEX  	D	1	Sun                      	Collins                  	16	4											16	4	16	4
64	2	TEX  	D	2	Turati                   	Labrana                  	1	0	13	1									14	1	14	1
64	2	TEX  	D	3	Chavatipon               	Stearns                  			1	0	11	1							12	1	14	2
64	2	TEX  	D	4	Rapolu                   	Perez-Mut                													0	0	0	1
33	3	UGA  	S	1	Katarina Jokic           	                         	15	0											15	0	24	1
33	3	UGA  	S	2	Lea Ma                   	                         			13	3									13	3	14	4
33	3	UGA  	S	3	Meg Kowalski             	                         					12	1							12	1	22	1
33	3	UGA  	S	4	Morgan Coppoc            	                         							15	2					15	2	23	5
33	3	UGA  	S	5	Marta Gonzalez           	                         							1	0	1	1			2	1	11	1
33	3	UGA  	S	6	Elena Christofi          	                         									1	2	9	0	10	2	17	4
33	3	UGA  	S	7	Ariana Arseneault        	                         											0	2	0	2	6	5
33	3	UGA  	S	8	Anna Hertel              	                         									1	0	0	1	1	1	10	4
