orgId	name
26172	A&M-Corpus Christi
8	Alabama
7	Alabama St.
28	Arizona St.
31	Arkansas
37	Auburn
43	Austin Peay
47	Ball St.
51	Baylor
68	Boston U.
107	California
48	Charleston So.
183	Denver
189	Drake
193	Duke
231	FIU
235	Florida
234	Florida St.
244	Furman
253	Ga. Southern
257	Georgia
255	Georgia Tech
1104	Grand Canyon
311	Iowa St.
317	James Madison
334	Kentucky
361	LIU
365	LSU
415	Miami (FL)
418	Michigan
430	Mississippi St.
490	NC State
457	North Carolina
2711	North Florida
501	Northern Ariz.
509	Northwestern
518	Ohio St.
522	Oklahoma
521	Oklahoma St.
523	Old Dominion
433	Ole Miss
541	Pepperdine
574	Rice
627	San Diego
630	San Jose St.
639	Siena
648	South Carolina
647	South Carolina St.
657	Southern California
674	Stanford
688	Syracuse
694	Tennessee
703	Texas
697	Texas A&M
700	Texas Tech
104	UC Santa Barbara
128	UCF
110	UCLA
302	UIC
740	VCU
736	Vanderbilt
746	Virginia
749	Wake Forest
812	Xavier
