

School:	Alabama			
Coach:	Jenny Mainz	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Loudmilla Bencheikh 	2	5											2	5	2	5	
 2 	Alba Cortina Pou 			3	2	8	0	4	2					15	4	15	7	
 3 	Anna Parkhomenko 					0	6	7	1	4	0			11	7	15	11	
 4 	Anne Marie Hiser 					1	1	4	0	8	7			13	8	17	10	
 5 	Sydney Riley 									2	0	10	7	12	7	14	13	
 6 	Sydney Orefice 											2	0	2	0	2	5	
 7 																		
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Anne Marie Hiser	Sydney Riley 	5	1	9	2			14	3	14	8	
 2 	Alba Cortina Pou	Anna Parkhomenko 					8	4	8	4	9	4	
 3 	Loudmilla Bencheikh	Sydney Orefice 	0	0	0	0	0	0	0	0	0	0	
 4											

