

School:	Alabama St.			
Coach:	Anuk Christiansz	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Madalena Andrade 	10	3											10	3	10	3	
 2 	Lizaveta Dzemchanka 					2	0					1	0	3	0	3	0	
 3 	Urska Velec 					3	1	5	1					8	2	8	2	
 4 	Francesca Duca 					0	2	8	0	0	2			8	4	8	4	
 5 	Timothee Legaud 									0	2	3	2	3	4	3	4	
 6 	Bea Acena 					0	1	2	3	5	2			7	6	7	6	
 7 	Anja Hribljan 			0	5									0	5	0	5	
 8 	Ana Tarbujaru 							0	1	1	1	2	1	3	3	3	3	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Lizaveta Dzemchanka	Ana Tarbujaru 	1	1					1	1	1	1	
 2 	Madalena Andrade	Francesca Duca 			4	0	1	0	5	0	5	0	
 3 	Urska Velec	Anja Hribljan 					0	0	0	0	0	0	
 4 	Bea Acena	Timothee Legaud 					0	0	0	0	0	0	

