

School:	A&M-Corpus Christi			
Coach:	Steve Moore	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Mariya Shumeika 	7	3	12	0									19	3	19	3	
 2 	Camille Townsend 	8	2	6	3	0	1							14	6	14	6	
 3 	Emma Honore 			0	2	16	4							16	6	15	6	
 4 	Emma Aucagne 					2	0	20	1					22	1	22	1	
 5 	Leopoldine Boisseau 					2	0	1	0	14	3			17	3	17	3	
 6 	Victoire Delattre 							3	0			14	2	17	2	17	2	
 7 	Kateryna Rublevska 									2	0	2	0	4	0	4	0	
 8 	Jordan Ortega Mendez 									1	0	3	0	4	0	4	0	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	M. Shumeika	C. Townsend 	19	5					19	5	19	5	
 2 	E.Honore	E.Aucagne 			16	4			16	4	16	4	
 3 	L.Boisseau	V. Delattre 					15	4	15	4	15	4	
 4 	K. Rublevska	J. Ortega Mendez 					1	0	1	0	1	0	

