

School:	Arizona St.			
Coach:	Sheila McInerney	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Ilze Hattingh 	10	7											10	7	11	7	
 2 	Sammi Hampton 			6	8									6	8	6	8	
 3 	Lauryn John-Baptiste 					11	6							11	6	11	6	
 4 	Giulia Morlet 			1	0			8	5					9	5	10	5	
 5 	Marianna Argyrokastriti 					1	0	2	1	11	4			14	5	15	5	
 6 	Domenika Turkovic 							2	0	2	1	4	5	8	6	9	6	
 7 	Cali Jankowski 									1	0	4	2	5	2	6	2	
 8 	Tereza Kolarova 									1	0	3	1	4	1	4	2	
 9 	Sa�a Klanecek 											0	0	0	0	0	0	
 10 	Alina Mukhortova 											0	0	0	0	0	0	
 11 	Natasha Hill 											0	0	0	0	0	0	
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Ilze Hattingh	Lauryn John-Baptiste 	7	9					7	9	7	9	
 2 	Sammi Hampton	Marianna Argyrokastriti 			4	4	9	0	13	4	13	4	
 3 	Giulia Morlet	Tereza Kolarova 			5	0	3	2	8	2	8	2	
 4 	Cali Jankowski	Domenika Turkovic 					0	0	0	0	0	1	

