

School:	Ball St.			
Coach:	Max Norris	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Emma Peeler 	10	10											10	10	10	10	
 2 	Jessica Braun 	1	0	6	5	6	2							13	7	13	7	
 3 	Mariya Polishchuk 	1	0	4	5	8	1	1	0					14	6	14	6	
 4 	Rebecca Herrington 			1	0	1	1	7	2	5	3			14	6	14	6	
 5 	Amy Kaplan 					1	2	7	3	4	2			12	7	12	7	
 6 	Livia Lukacs 							1	0	1	1	6	2	8	3	8	3	
 7 	Silvia Martinez 					1	0	1	0	2	0	9	2	13	2	13	2	
 8 	Emily Desai 									2	1			2	1	2	1	
 9 	Victoria Sec 											2	0	2	0	2	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Amy Kaplan	Emma Peeler 	9	3	0	1			9	4	9	3	
 2 	Jessica Braun	Mariya Polishchuk 					2	0	2	0	2	0	
 3 	Victoria Sec	Livia Lukacs 			5	0	6	0	11	0	11	0	
 4 	Becca Herrington	Silvia Martinez or Emily Desai 					0	0	0	0	0	0	

