

School:	Baylor			
Coach:	Joey Scrivano	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Melany Krywoj 	11	6											11	6	19	10	
 2 	Jessica Hinojosa 	3	1	7	6	2	3							12	10	18	15	
 3 	Alicia Herrero 	2	2	7	2	4	4							13	8	20	13	
 4 	Angie Shakhraichuck 					6	1	6	4	2	0	3	0	17	5	24	10	
 5 	Kristina Sorokolet 			1	0	2	0	0	1	4	1	4	1	11	3	18	5	
 6 	Paula Baranano 							2	0	5	1	5	2	12	3	12	3	
 7 	Audrey Boch-Collins 									3	1	7	1	10	2	16	3	
 8 	Sara Ziodato 							1	1	1	1	1	0	3	2	3	2	
 9 	Hannah Pinto 											0	0	0	0	1	5	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Shakhraichuk	Krywoj 	9	1					9	1	9	1	
 2 	Hinojosa	Sorokolet 	0	1	1	4	1	1	2	6	2	6	
 3 	Herrero	Boch-Collins 					5	0	5	0	5	0	
 4 	Baranano	Ziodato 					0	0	0	0	0	0	

