

School:	Boston U.			
Coach:	Lesley Sheehan	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Victoria Carlsten 	2	2	0	1	1	0							3	3	3	3	
 2 	Kaitlin Tan 			3	0	2	0							5	0	5	0	
 3 	Erica Di Battista 	1	0	2	0	1	1							4	1	4	1	
 4 	Emily Kim 	2	1	1	0	1	0	2	1					6	2	6	2	
 5 	Lily Burchell 			1	0	1	0	0	1	4	0			6	1	6	1	
 6 	Katya Martens 							2	0	2	0			4	0	4	0	
 7 	Shelly Yaloz 					2	0					0	2	2	2	2	2	
 8 	Stephanie Nguyen 							1	0			1	0	2	0	2	0	
 9 	Alex Angyalosy 											1	0	1	0	1	0	
 10 	Mia Wallace 											2	0	2	0	2	0	
 11 	Dani Blaser 							1	0	1	0			2	0	2	0	
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Emily Kim	Lily Burchell 	3	1					3	1	3	1	
 2 	Victoria Carlsten	Erica DiBattista 			2	1			2	1	2	1	
 3 	Kaitlin Tan	Shelly Yaloz 					4	0	4	0	4	0	
 4 	Dani Blaser	Mia Wallace 					1	0	1	0	1	0	

