

School:	California			
Coach:	Amanda Augustus	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Haley Giavara 	12	10											12	10	12	10	
 2 	Julia Rosenqvist 			11	7	3	0							14	7	14	7	
 3 	Valentina Ivanov 	0	1	1	2	9	5							10	8	10	8	
 4 	Jada Bui 					2	1	8	5					10	6	10	6	
 5 	Hannah Viller Moeller 					0	1	6	1	8	5			14	7	14	7	
 6 	Anna Bright 							1	0	7	0	10	3	18	3	18	3	
 7 	Cami Brown 											1	2	1	2	1	2	
 8 	Erin Richardson 									0	1	3	2	3	3	3	3	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Haley Giavara	Valentina Ivanov 	12	5					12	5	12	5	
 2 	Anna Bright	Hannah Viller Moeller 			11	6			11	6	11	6	
 3 	Jada Bui	Erin Richardson 					2	2	2	2	2	2	
 4 	Julia Rosenqvist	Cami Brown 					0	0	0	0	0	0	

