

School:	Charleston So.			
Coach:	anca dumitrescu	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	madalina man 	9	6											9	6	9	6	
 2 	luiza fullana 			7	6									7	6	7	6	
 3 	khyanna singh 					8	8							8	8	8	8	
 4 	zoe cauthen 							9	5					9	5	9	5	
 5 	michelle schmitz 									9	8			9	8	9	8	
 6 	tiffany pyrtiz 											6	7	6	7	6	7	
 7 	tyler kirk 											0	4	0	4	0	4	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	madalina man	khyanna singh 	9	5					9	5	9	5	
 2 	zoe cauthen	tiffany pyrtiz 			10	5			10	5	10	5	
 3 	luiza fullana	michelle schmitz 					7	7	7	7	7	7	
 4 	tyler kirk					0	0	0	0	0	0	

