

School:	Denver			
Coach:	Christian Bass	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Anna Riedmiller 	6	0	8	1									14	1	14	1	
 2 	Taylor Melville 	4	4	5	0									9	4	9	4	
 3 	Britt Pursell 			1	0	11	3							12	3	12	3	
 4 	Camille Verden-Anderson 					2	0	3	1	2	1	1	0	8	2	8	2	
 5 	Hada Chang 							1	0	5	2	1	0	7	2	7	2	
 6 	Tatum Burger 							4	4	2	2	2	0	8	6	8	6	
 7 	Toni Nelson 											10	2	10	2	10	2	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Britt Pursell	Camille Verden-Anderson 	6	1	5	1			11	2	11	2	
 2 	Anna Riedmiller	Hada Chang 			5	1			5	1	5	1	
 3 	Toni Nelson	Taylor Melville 			1	0	5	0	6	0	6	0	
 4											

