

School:	Drake			
Coach:	Mai-Ly Tran	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Elizaveta Petushkova 	10	8											10	8	10	8	
 2 	Daria Walczak 			6	7	2	2							8	9	8	9	
 3 	Ines Stephani 					5	1	7	3					12	4	12	4	
 4 	Maria Tatarnikova 			1	3	4	3	7	0					12	6	12	6	
 5 	Darinka Stepan 									9	4	1	1	10	5	10	5	
 6 	Kelsey Neville 							0	1	1	2	8	4	9	7	9	7	
 7 	Megan Webb 									0	1	1	1	1	2	1	2	
 8 	Kendall Hunt 											0	2	0	2	0	2	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Elizaveta Petushkova	Maria Tatarnikova 	10	7					10	7	10	7	
 2 	Kelsey Neville	Megan Webb 			3	6			3	6	3	6	
 3 	Darinka Stepan	Ines Stephani 					7	8	7	8	7	8	
 4 	Daria Walczak	Kendall Hunt 					1	0	1	0	1	0	

