

School:	Duke			
Coach:	jamie ashworth	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	kelly chen 	5	9	3	1									8	10	10	11	
 2 	georgia drummy 	6	0	7	3	2	0							15	3	17	4	
 3 	chloe beck 			3	1	11	1	0	1	1	0			15	3	17	4	
 4 	meible chi 			3	0	1	1	12	1	2	0			18	2	21	3	
 5 	margaryta bilokin 					1	2	4	0	6	6			11	8	14	9	
 6 	karolina berankova 							1	1	1	1	7	7	9	9	10	11	
 7 	ema lazic 											1	0	1	0	2	3	
 8 	hannah zhao 									0	1	2	2	2	3	2	7	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	meible chi	margaryta bilokin 	8	4	1	0			9	4	11	4	
 2 	chloe beck	karolina berankova 	1	0	11	2			12	2	15	3	
 3 	kelly chen	georgia drummy 			1	0	12	2	13	2	14	4	
 4 	hannah zhao	ema lazic 					1	0	1	0	3	0	

