

School:	FIU			
Coach:	Katarina Petrovic	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Kamila Umarova 	10	2											10	2	10	2	
 2 	Marina Alcaide 			3	0	8	0							11	0	11	0	
 3 	Andjela Skrobonja 							9	2	1	0			10	2	10	2	
 4 	Basak Akbas 	1	0	4	3	0	2							5	5	5	5	
 5 	Andreea Velcea 							2	0	6	2	1	0	9	2	9	2	
 6 	Kristina Miletic 					1	0			1	1	1	5	3	6	3	6	
 7 	Francisca Vergara 											1	2	1	2	1	2	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Kamila Umarova	Andjela Skrobonja 	5	0					5	0	5	0	
 2 	Marina Alcaide	Andreea Velcea 			2	2			2	2	2	2	
 3 	Basak Akbas	Kristina Miletic 					5	1	5	1	5	1	
 4											

