

School:	Florida			
Coach:	Roland Thornqvist	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	McCartney Kessler 	13	2											13	2	16	2	
 2 	Marlee Zein 			6	5	2	0							8	5	10	8	
 3 	Ida Jarlskog 			2	2	6	2							8	4	8	4	
 4 	Layne Sleeth 							7	0	1	1	1	0	9	1	9	1	
 5 	Sara Dahlstrom 							3	4	3	4			6	8	9	11	
 6 	Sydney Berlin 									5	1	6	3	11	4	16	5	
 7 	Amber McGinnis 									0	1	1	6	1	7	1	7	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	McCartney Kessler	Marlee Zein 	9	6					9	6	13	7	
 2 	Ida Jarlskog	Layne Sleeth 			6	0			6	0	6	0	
 3 	Sara Dahlstrom	Sydney Berlin 					3	5	3	5	6	7	
 4 	Amber McGinnis					2	6	2	6	2	6	

