

School:	Florida St.			
Coach:	Jennifer Hyde	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Giulia Pairone 	11	8											11	8	13	8	
 2 	Emmanuelle Salas 	0	1	5	6	1	0	1	2					7	9	7	10	
 3 	Nandini Das 			2	4	6	4	3	0					11	8	12	8	
 4 	Petra Hule 			0	1	1	1	4	0	7	1			12	3	13	3	
 5 	Victoria Allen 					1	0	3	4	7	0			11	4	12	5	
 6 	Anna Arkadianou 					1	4	1	0	1	0			3	4	4	5	
 7 	Andrea Garcia 							0	1	2	0	15	2	17	3	19	3	
 8 	Alice Amendola 											1	1	1	1	2	3	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Emmanuelle Salas	Victoria Allen 	5	3					5	3	5	3	
 2 	Nandini Das	Andrea Garcia 			8	4	6	0	14	4	17	4	
 3 	Petra Hule	Giulia Pairone 					5	1	5	1	6	1	
 4 	Anna Arkadianou	Alice Amendola 	0	0					0	0	0	0	

