

School:	Furman			
Coach:	Adam Herendeen	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Katarina Kozarov 	22	1											22	1	22	1	
 2 	Julia Adams 	4	0	15	6									19	6	19	6	
 3 	Madison Dillon 			2	2	10	10							12	12	12	12	
 4 	MaryAnn Rompf 			1	0	2	2	15	6					18	8	18	8	
 5 	Maggie Pate 							5	0	9	6	1	1	15	7	15	7	
 6 	Ellie Schoppe 									5	2	15	1	20	3	20	3	
 7 	Ilayda Baykan 											4	1	4	1	4	1	
 8 	Eva Borders 											0	0	0	0	0	0	
 9 	Carol Elizabeth Kerman 											0	0	0	0	0	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Katarina Kozarov	Julia Adams 	19	3					19	3	19	3	
 2 	Madison Dillon	MaryAnn Rompf 	19	2					19	2	19	2	
 3 	Maggie Pate	Ellie Schoppe 	11	5					11	5	11	5	
 4 	Ilayda Baykan	Eva Borders 					0	0	0	0	0	0	

