

School:	Ga. Southern			
Coach:	Sean McCaffrey	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Nadja Meier 	4	3	11	4	0	2							15	9	15	9	
 2 	Paula Boixader 	6	9	2	1									8	10	8	10	
 3 	Sophie Wagemaker 			0	3	10	3	1	1					11	7	11	7	
 4 	Charlotte van Diemen 			1	2	4	2	3	1					8	5	8	5	
 5 	Mila Hartig 			1	0	9	4	3	0	1	0			14	4	14	4	
 6 	Paula Hijos 					1	0	2	1	8	5	2	0	13	6	13	6	
 7 	Elizabeth Goines 							1	0	1	2	11	5	13	7	13	7	
 8 	Sonja Keranen 							1	0	1	0	1	0	3	0	3	0	
 9 	Sara Barriendo 									1	0	1	0	2	0	2	0	
 10 	Hannah Daniel 											1	0	1	0	1	0	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Charlotte van Diemen	Sophie Wagemaker 	9	8					9	8	9	8	
 2 	Paula Boixader	Nadja Meier 			6	3			6	3	6	3	
 3 	Elizabeth Goines	Sonja Keranen 			1	4	8	3	9	7	9	7	
 4 	Hannah Daniel	Mila Hartig 			1	0	1	0	2	0	2	0	

