

School:	Georgia			
Coach:	Jeff Wallace	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Katarina Jokic 	15	0											15	0	24	1	
 2 	Lea Ma 			13	3									13	3	14	4	
 3 	Meg Kowalski 					12	1							12	1	22	1	
 4 	Morgan Coppoc 							15	2					15	2	23	5	
 5 	Marta Gonzalez 							1	0	1	1			2	1	11	1	
 6 	Elena Christofi 									1	2	9	0	10	2	17	4	
 7 	Ariana Arseneault 											0	2	0	2	6	5	
 8 	Anna Hertel 									1	0	0	1	1	1	10	4	
 9 	Alee Clayton 											1	0	1	0	9	3	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Katarina Jokic	Ariana Arseneault 	11	4					11	4	14	6	
 2 	Elena Christofi	Morgan Coppoc 			12	2			12	2	18	3	
 3 	Lea Ma	Meg Kowalski 					15	2	15	2	18	2	
 4 	Anna Hertel	Marta Gonzalez 					0	0	0	0	0	0	

