

School:	Georgia Tech			
Coach:	Rodney Harmon	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Kenya Jones 	16	7											16	7	17	8	
 2 	Victoria Flores 	2	1	12	4	3	0							17	5	18	6	
 3 	Gia Cohen 			1	0	3	11	4	3					8	14	8	15	
 4 	Ava Hrastar 			4	2	4	4	2	3					10	9	12	9	
 5 	Carol Lee 					2	1	3	1	5	8	2	2	12	12	14	12	
 6 	Mahak Jain 							2	4	5	1	7	2	14	7	16	7	
 7 	Rosie Garcia Gross 							1	4	1	1	3	6	5	11	5	11	
 8 	Monika Dedaj 									2	4	1	0	3	4	4	4	
 9 	Ruth Marsh 							0	1			0	2	0	3	1	4	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Jones	Flores 	20	3					20	3	22	4	
 2 	Hrastar	Cohen 	1	0	5	6			6	6	6	6	
 3 	Lee	Dedaj 					1	8	1	8	1	8	
 4 	Garcia Gross	Jain 			0	1	0	1	0	2	0	2	

