

School:	Grand Canyon			
Coach:	Gregory Prudhomme	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Natahsa Puehse 	14	4											14	4	14	4	
 2 	Emilia Occhipinti 			12	5									12	5	12	5	
 3 	Jana Weiss 					15	4							15	4	15	4	
 4 	Joely Lomas 					0	1	9	4	1	3			10	8	10	8	
 5 	Autum Prudhomme 							1	5	6	4	0	1	7	10	7	10	
 6 	Taylor Andersen 									1	2	9	5	10	7	10	7	
 7 	Aline Buhr 							0	1			0	2	0	3	0	3	
 8 	Mathilde Lirzin 											0	0	0	0	0	0	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Natasha Puehse	Jana Weiss 	5	12					5	12	5	12	
 2 	Emilia Occhipinti	Autum Prudhomme 			15	4			15	4	15	4	
 3 	Joely Lomas	Taylor Andersen 					12	6	12	6	12	6	
 4 	Aline Buhr	Mathilde Lirzin 					0	0	0	0	0	0	

