

School:	Iowa St.			
Coach:	Boomer Saia	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Thasaporn Naklo 	10	7											10	7	10	7	
 2 	Maty Cancini 			6	9									6	9	6	9	
 3 	Miska Kadleckova 					6	1	8	2					14	3	14	3	
 4 	Christin Hsieh 			1	3	5	5	1	3					7	11	7	11	
 5 	Chie Kezuka 							3	2	7	4			10	6	10	6	
 6 	Sofia Cabezas 									4	1	9	3	13	4	13	4	
 7 	Ting-Pei Chang 											1	3	1	3	1	3	
 8 	Ellie Murphy 											0	1	0	1	0	1	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Thasaporn Naklo	Christin Hsieh 	1	1					1	1	1	1	
 2 	Miska Kadleckova	Sofia Cabezas 			1	0			1	0	1	0	
 3 	Maty Cancini	Ting-Pei Chang 					6	3	6	3	6	3	
 4 	Chie Kezuka	Ellie Murphy 					0	0	0	0	0	0	

