

School:	James Madison			
Coach:	Shelley Jaudon	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Daria Afanasyeva 	10	5											10	5	10	5	
 2 	Jona Roka 			10	4									10	4	10	4	
 3 	Natalia Nikolopoulou 					7	5	1	0					8	5	8	5	
 4 	Kylie Moulin 					0	1	12	1	1	0			13	2	13	2	
 5 	Alexis Franco 					2	0	2	1	10	1			14	2	14	2	
 6 	Daniela Voloh 									3	0	9	1	12	1	12	1	
 7 	Amanda Nord 											4	1	4	1	4	1	
 8 	Michelle Los Arcos 											1	0	1	0	1	0	
 9 	Shannon McCarthy 											0	0	0	0	0	0	
 10 	Paige Duncan 											0	0	0	0	0	0	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Daria Afanasyeva	Alexis Franco 	7	3					7	3	7	3	
 2 	Jona Roka	Kylie Moulin 			12	2			12	2	12	2	
 3 	Natalia Nikolopoulou	Amanda Nord 					3	1	3	1	3	1	
 4 	Daniela Voloh	Michelle Los Arcos 					0	0	0	0	0	0	

