

School:	Kentucky			
Coach:	Carlos Drada	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Akvile Parazinskaite 	16	6	0	0	0	0	0	0	0	0	0	0	16	6	19	10	
 2 	Lesedi Jacobs 	0	0	0	1	7	4	2	0	0	0	0	0	9	5	11	8	
 3 	Carlota Molina 	0	0	11	6	1	1	0	0	0	0	0	0	12	7	12	13	
 4 	Elizabeth Stevens 	0	0	0	0	1	2	1	5	1	1	0	0	3	8	6	13	
 5 	Carla Girbau 	0	0	1	0	2	1	4	7	2	1	0	0	9	9	11	14	
 6 	Fiona Arrese 	0	0	0	0	1	0	3	0	4	3	2	1	10	4	10	9	
 7 	Maialen Morante 	0	0	0	0	0	0	0	0	1	0	5	4	6	4	9	7	
 8 	Ana Tkachenko 	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	4	
 9 	Diana Tkachenko 	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Akvile Parazinskaite	Fiona Arrese 	17	2	0	0	0	0	17	2	20	2	
 2 	Ana Tkachenko	Carla Girbau 	0	0	1	3	0	0	1	3	1	3	
 3 	Lesedi Jacobs	Elizabeth Stevens 	0	0	0	0	2	0	2	0	2	1	
 4 	Carlota Molina	Maialen Morante 	0	0	0	0	0	0	0	0	0	0	

