

School:	Michigan			
Coach:	Ronni Bernstein	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Kari Miller 	11	3	1	1									12	4	15	4	
 2 	Chiara Lommer 	1	1	10	3	1	0							12	4	14	5	
 3 	Andrea Cerdan 			0	1	7	4	4	1					11	6	13	7	
 4 	Jaedan Brown 					1	1	7	0	7	1			15	2	17	3	
 5 	Alyvia Jones 					2	1	2	1	3	0			7	2	7	5	
 6 	Bella Lorenzini 											2	0	2	0	4	0	
 7 	Nicole Hammond 											3	3	3	3	5	3	
 8 	Merri Kelly 											3	2	3	2	6	2	
 9 	Anca Craciun 											0	0	0	0	0	2	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Alvyia Jones	Jaedan Brown 	2	0					2	0	2	0	
 2 	Kari Miller	Chiara Lommer 			2	0			2	0	2	0	
 3 	Bella Lorenzini	Andrea Cerdan 					0	0	0	0	0	0	
 4 	Merri Kelly	Anca Craciun 					0	0	0	0	0	0	

