

School:	NC State			
Coach:	Simon Earnshaw	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Anna Rogers 	14	6											14	6	19	6	
 2 	Alana Smith 			14	5									14	5	16	8	
 3 	Adriana Reami 	1	0			12	4	2	1					15	5	16	9	
 4 	Jaeda Daniel 			1	0	0	2	10	6					11	8	13	10	
 5 	Abigail Rencheli 									5	2	5	2	10	4	13	5	
 6 	Lexi Keberle 					1	0			10	2	2	4	13	6	16	8	
 7 	Millie Rajecki 									1	0	3	2	4	2	6	5	
 8 	Lana Mavor 							1	0			1	0	2	0	6	0	
 9 	Liz Norman 											1	0	1	0	3	1	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Anna Rogers	Alana Smith 	14	5					14	5	20	8	
 2 	Jaeda Daniel	Adriana Reami 			12	4			12	4	20	5	
 3 	Millie Rajecki	Abigail Rencheli 					11	1	11	1	12	2	
 4 	Lexi Keberle	Lana Mavor 					0	0	0	0	0	0	

