

School:	North Carolina			
Coach:	Brian Kalbas	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Sara Daavettila 	10	1	5	0									15	1	15	1	
 2 	Alexa Graham 	3	2	5	0	3	0							11	2	16	2	
 3 	Cameron Morra 	2	0	7	4	6	2							15	6	15	6	
 4 	Elizabeth Scotty 					5	1	6	1					11	2	11	3	
 5 	Makenna Jones 			2	0	3	0	7	0	1	2			13	2	15	2	
 6 	Fiona Crawley 	2	0			1	0	8	0	9	0	3	0	23	0	25	0	
 7 	Reilly Tran 							1	0	5	0	9	0	15	0	17	0	
 8 	Anika Yarlagadda 					2	0	1	0	5	0	3	1	11	1	13	1	
 9 	Alle Sanford 							1	0	1	0	3	0	5	0	5	2	
 10 	Kacie Harvey 											3	0	3	0	3	1	
 11 	Sophia Patel 											0	0	0	0	0	2	
 12 	Sara McClure 											0	0	0	0	0	1	
 13 	Anna Harmon 											0	0	0	0	0	0	
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Sara Daavettila	Cameron Morra 	10	1					10	1	10	1	
 2 	Makenna Jones	Elizabeth Scotty 	1	0	8	1	1	0	10	1	10	1	
 3 	Alle Sanford	Reilly Tran 			4	0	12	3	16	3	16	3	
 4 	Fiona Crawley	Alexa Graham 					0	0	0	0	0	0	

