

School:	North Florida			
Coach:	Catherine Dunagan	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Lucia Montano 	14	8											14	8	14	8	
 2 	Catherine Gulihur 	1	0	17	3									18	3	18	3	
 3 	Constanza Gorches 			2	0	4	3	7	6					13	9	13	9	
 4 	Summer Yardley 					2	0	3	3	3	2	3	4	11	9	11	9	
 5 	Annabelle Davis 							1	0	6	0	3	1	10	1	10	1	
 6 	Valentina Mariotto 							2	0	3	6	3	1	8	7	8	7	
 7 	Sean Lodzki 							1	0	1	0	2	1	4	1	4	1	
 8 	Florencia Rossi 									1	0			1	0	1	0	
 9 	Ana Melilo 			1	0	8	4							9	4	9	4	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Lucia Montano	Constanza Gorches 	5	1	10	5			15	6	15	6	
 2 	Catherine Gulihur	Valentina Mariotto 			3	3			3	3	3	3	
 3 	Summer Yardley	Annabelle Davis 					1	1	1	1	1	1	
 4 	Florencia Rossi	Sean Lodzki 					1	2	1	2	1	2	

