

School:	Northern Ariz.			
Coach:	Ewa Bogusz	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Gina Dittmann 	14	1	1	0									15	1	15	1	
 2 	Emily Bland 			1	1	13	1	0	1					14	3	14	3	
 3 	Eleanor Millard 	1	0	7	5	3	0							11	5	11	5	
 4 	Ava Neyestani 					0	1	9	5	2	0			11	6	11	6	
 5 	Elinor Beazley 							1	0	5	5	2	0	8	5	8	5	
 6 	Madison Moore 											6	8	6	8	6	8	
 7 																		
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Eleanor Millard	Emily Bland 	9	8					9	8	9	8	
 2 	Gina Dittmann	Elinor Beazley 			8	7	2	0	10	7	10	7	
 3 	Madison Moore	Ava Neyestani 			1	1	6	9	7	10	7	10	
 4											

