

School:	Northwestern			
Coach:	Claire Pollard	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Maria Shusharina 	5	12	2	0									7	12	9	13	
 2 	Clarissa Hand 			0	2	14	4							14	6	14	9	
 3 	Julie Byrne 	1	1	4	7	4	0							9	8	11	9	
 4 	Briana Crowley 					0	1	16	3	0	1			16	5	17	7	
 5 	Caroline Pozo 							1	1	11	6			12	7	12	8	
 6 	Christina Hand 											13	1	13	1	13	4	
 7 	Hannah McColgan 									0	1	6	2	6	3	8	4	
 8 	Vanessa Streng 											0	0	0	0	0	0	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Julie Byrne	Briana Crowley 	7	2					7	2	7	2	
 2 	Christina Hand	Clarissa Hand 			4	3			4	3	4	3	
 3 	Hannah McColgan	Caroline Pozo 					5	2	5	2	5	2	
 4 	Vanesa Streng	Maria Shusharina 					0	0	0	0	0	0	

