

School:	Oklahoma			
Coach:	Audra Cohen	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Carmen Corley 	12	6											12	6	19	13	
 2 	Dana Guzman 			13	1	1	0	4	1					18	2	18	2	
 3 	Ivana Corley 			1	0	11	5	1	1					13	6	20	12	
 4 	Martina Capurro 			2	3	0	2	9	3					11	8	11	8	
 5 	Kianah Motosono 									3	3	7	4	10	7	16	14	
 6 	Camila Romero 											1	1	1	1	1	1	
 7 	Marcelina Podlinska 							2	0	8	4	3	1	13	5	13	5	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Carmen Corley	Ivana Corley 	16	2					16	2	26	3	
 2 	Martina Capurro	Camila Romero 			7	3			7	3	7	3	
 3 	Dana Guzman	Kianah Motosono 					10	2	10	2	10	2	
 4 	Marcelina Podlinska					1	1	1	1	1	1	

