

School:	Oklahoma St.			
Coach:	Chris Young	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Bunyawi Thamchaiwat 	9	2	3	0									12	2	20	4	
 2 	Ayumi Miyamoto 			3	2	7	3	1	0					11	5	21	9	
 3 	Alana Wolfberg 	3	1	1	5	3	2							7	8	17	10	
 4 	Dariya Detkovskaya 			1	0	3	0	5	6					9	6	17	8	
 5 	Lenka Stara 							3	1	7	6	0	1	10	8	17	14	
 6 	Daniella Medvedeva 									1	2	3	7	4	9	10	12	
 7 	Lora Boggs 							0	2			1	3	1	5	1	7	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Alana Wolfberg	Lenka Stara 	3	2	4	4			7	6	7	6	
 2 	Ayumi Miyamoto	Dariya Detkovskaya 			2	0			2	0	2	0	
 3 	Bunyawi Thamchaiwat	Daniella Medvedeva 					3	1	3	1	3	1	
 4											

