

School:	Old Dominion			
Coach:	Dominic Manilla	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Holly Hutchinson 	7	8											7	8	8	9	
 2 	Yulia Starodubtseva 			11	1									11	1	11	1	
 3 	Tatsiana Sasnouskaya 			1	0	9	2	2	0	1	0			13	2	13	2	
 4 	Alesya Yakubovich 					1	0	4	5	1	2			6	7	6	7	
 5 	Brooke Pilkington 							2	0	2	3	2	2	6	5	6	5	
 6 	Alexandra Viktorovich 							0	1	1	1	6	2	7	4	7	4	
 7 	Shahar Biran 					0	3			1	1	3	0	4	4	4	4	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Yulia Starodubtseva	Alesya Yakubovich 	5	5					5	5	5	5	
 2 	Holly Hutchinson	Tatsiana Sasnouskaya 			11	0	1	1	12	1	12	1	
 3 	Brooke Pilkington	Alexandra Viktorovich 					7	2	7	2	7	2	
 4											

