

School:	Ole Miss			
Coach:	Mark Beyers	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Sabina Machalova 	5	8	3	0									8	8	15	8	
 2 	Tiphanie Fiquet 	1	1	8	4									9	5	14	8	
 3 	Tereza Janatova 			1	0	9	3							10	3	11	3	
 4 	Anna Vrbenska 							9	4					9	4	8	4	
 5 	Reka Zadori 									4	1	5	2	9	3	12	9	
 6 	Lillian Gabrielsen 							1	0	2	2	2	1	5	3	8	8	
 7 	Alexa Bortles 					1	0			0	4			1	4	3	10	
 8 	Kelsey Mize 					1	0			1	0	0	3	2	3	3	9	
 9 	Elysia Pool 											0	1	0	1	3	3	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Anna Vrbenska	Alexa Bortles 	2	3					2	3	2	3	
 2 	Sabina Machalova	Tiphanie Fiquet 			2	1			2	1	1	1	
 3 	Tereza Janatova	Kelsey Mize 					0	2	0	2	0	2	
 4 	Reka Zadori	Lillian Gabrielsen 					0	0	0	0	1	1	

