

School:	Rice			
Coach:	Elizabeth Schmidt	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Michaela Haet 	4	3	4	2									8	5	9	11	
 2 	Victoria Smirnova 	3	4	1	0									4	4	5	4	
 3 	Federica Trevisan 			1	0	12	1	1	1					14	2	17	6	
 4 	Linda Huang 			1	2	1	0			1	0	1	0	4	2	7	5	
 5 	Anastasia Smirnova 							1	1	3	2			4	3	4	3	
 6 	Anna Bowtell 			1	1	2	1	6	2	2	1			11	5	14	8	
 7 	Maria Budin 							0	1	6	3	5	1	11	5	15	11	
 8 	Diae El Jardi 									0	1	8	2	8	3	10	10	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Maria Budin	Diae El Jardi 	13	5					13	5	17	9	
 2 	Federica Trevisan	Michaela Haet 			6	5	2	0	8	5	9	6	
 3 	Anna Bowtell	Victoria Smirnova 			1	1	8	5	9	6	11	9	
 4 	Anastasia Smirnova	Linda Huang 					3	2	3	2	3	2	

