

School:	San Diego			
Coach:	Sherri Stephens	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Solymar Colling 	14	4											14	4	14	3	
 2 	Elizabeth Goldsmith 			11	3									11	3	11	3	
 3 	Jordyn McBride 			2	0	12	3							14	3	14	3	
 4 	Abigail Desiatnikov 					4	1	6	3	2	0			12	4	12	4	
 5 	Victoria Kalaitzis 							4	1	8	2	0	1	12	4	12	4	
 6 	Katharina Kukaras 							1	0	5	1	5	3	11	4	11	4	
 7 	Elisabeth Andryukhova 									0	1	1	0	1	1	1	1	
 8 	Jessi Muljat 											5	1	5	1	5	1	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Solymar Colling	Elizabeth Goldsmith 	14	3					14	3	14	3	
 2 	Abigail Desiatnikov	Jordyn McBride 			5	1	7	3	12	4	12	4	
 3 	Elisabeth Andryukhova	Katharina Kukaras 			0	2	2	2	2	4	2	4	
 4 	Victoria Kalaitzis	Jessi Muljat 					0	1	0	1	0	1	

