

School:	San Jose St.			
Coach:	Chad Skorupka	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Alba Pedrero Galindo 	11	4											11	4	11	4	
 2 	Rozalina Youseva 			6	6									6	6	6	6	
 3 	Irena Muradyan 					13	1			1	0			14	1	14	1	
 4 	Lara Marco Mas 							4	5	1	0	1	0	6	5	6	5	
 5 	Raquel Villan Pereira 									9	2			9	2	9	2	
 6 	Jovana Babic 											7	3	7	3	7	3	
 7 	Tamara Culibrk 					0	1			0	1			0	2	0	2	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Alba Pedrero Galindo	Lara Marco Mas 	0	3	3	3			3	6	3	6	
 2 	Tamara Culibrk	Irena Muradyan 			1	1	2	1	3	2	3	3	
 3 	Rozalina Youseva	Raquel Villan Pereira 					2	3	2	3	2	3	
 4											

