

School:	South Carolina			
Coach:	Kevin Epley	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Mia Horvit 	9	7											9	7	11	9	
 2 	Megan Davies 			10	5									10	5	12	8	
 3 	Emma Shelton 			1	1	7	7	2	0					10	8	13	11	
 4 	Silvia Chinellato 					2	3	7	6	1	0			10	9	12	12	
 5 	Allie Gretkowski 							2	3	5	9			7	12	7	12	
 6 	Ana Cruz 									1	2	4	4	5	6	5	6	
 7 	Gabriela Martinez 											1	1	1	1	1	6	
 8 	Elise Mills 							0	1	0	1	1	3	1	5	3	9	
 9 	Lindsay Tulenko 											0	1	0	1	0	5	
 10 	Kendall Couch 											0	0	0	0	0	2	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Megan Davies	Mia Horvit 	9	8					9	8	13	10	
 2 	Silvia Chinellato	Emma Shelton 			7	5			7	5	10	8	
 3 	Ana Cruz	Allie Gretkowski 			0	2	11	0	11	2	11	2	
 4 	Gabriela Martinez	Kendall Couch 					0	0	0	0	1	0	

