

School:	South Carolina St.			
Coach:	Hardeep Judge	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Rachida Berjane 	6	2											6	2	6	2	
 2 	Hind Semlali 			6	3									6	3	6	3	
 3 	Andjela Mihajilovic 					2	6							2	6	2	6	
 4 	Lasya Patnaik 							6	3					6	3	6	3	
 5 	Ikram Rassif 									4	3			4	3	4	3	
 6 	Anabel Aguilar 											3	1	3	1	3	1	
 7 	Anais Peralta 											0	2	0	2	0	2	
 8 	Lajla Cemalovic 									0	1			0	1	0	1	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Hind Semlali	Lasya Patnaik 	4	0					4	0	4	0	
 2 	Rachida Berjane	Lajla Cemalovic 			1	1			1	1	1	1	
 3 	Andjela Mihajilovic	Anabel Aguilar 					6	3	6	3	6	3	
 4 	Ikram Rassif	Anais Peralta 					0	0	0	0	0	0	

