

School:	Southern California			
Coach:	Alison Swain	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Salma Ewing 	4	2	3	0	6	3							13	5	13	5	
 2 	Eryn Cayetano 	3	3	6	2	1	0							10	5	10	5	
 3 	Angela Kulikov 	0	1											0	1	0	1	
 4 	Naomi Cheong 	1	3	6	2	2	3							9	8	9	8	
 5 	Dani Willson 					2	2	10	6					12	8	12	8	
 6 	Summer Dvorak 							3	1	9	6			12	7	12	7	
 7 	Constance Branstine 									0	2	1	1	1	3	1	3	
 8 	Clare McKee 									2	1	6	9	8	10	8	10	
 9 	McKenna Koenig 											0	0	0	0	0	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Angela Kulikov	Eryn Cayetano 	6	5					6	5	6	5	
 2 	Salma Ewing	Clare McKee 			8	4			8	4	8	4	
 3 	Summer Dvorak	Dani Willson 					8	5	8	5	8	5	
 4 	Constance Branstine	McKenna Koenig 					0	0	0	0	0	0	

