

School:	Tennessee			
Coach:	Alison Ojeda	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Rebeka Mertena 	2	2	5	0	4	4							11	6	15	14	
 2 	Eleonora Molinaro 	2	7	1	2									3	9	3	9	
 3 	Carly Briggs 	2	2	1	6	3	4							6	12	15	15	
 4 	Daria Kuczer 					1	0	8	1	9	1	1	0	19	2	25	7	
 5 	Tenika McGiffin 	1	0			2	0	6	4	6	0			15	4	20	12	
 6 	Johanna Silva 			0	1	0	1			0	1	9	1	9	4	12	10	
 7 	Esther Adeshina 									1	0	1	1	2	1	8	6	
 8 	Callie Creath 							1	0	2	0	3	2	6	2	9	7	
 9 	Kylie Duckworth 											0	0	0	0	0	0	
 10 	Julie Ball 											1	0	1	0	2	1	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Eleonora Molinaro	Tenika McGiffin 	1	3	2	0			3	3	3	3	
 2 	Esther Adeshina	Daria Kuczer 	3	5	8	1			11	6	12	9	
 3 	Carly Briggs	Rebeka Mertena 					4	3	4	3	4	3	
 4 	Kylie Duckworth	Johanna Silva 					0	0	0	0	0	0	

