

School:	Texas			
Coach:	Howard Joffe	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Peyton Stearns 	10	3											10	3	14	6	
 2 	Anna Turati 	5	1	9	2	3	0							17	3	17	3	
 3 	Lulu Sun 			6	1	12	1							18	2	18	2	
 4 	Charlotte Chavatipon 			2	0	2	0	16	1					20	1	23	1	
 5 	Kylie Collins 					2	0	4	0	9	2	1	0	16	2	16	2	
 6 	Fernanda Labrana 							3	0	6	0	5	1	14	1	21	2	
 7 	Malaika Rapolu 					1	0	1	0	2	0	13	1	17	1	24	2	
 8 	marta perez mur 									1	0	2	0	3	0	9	2	
 9 	Tijana Spasojevic 											1	0	1	0	1	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Sun	Collins 	16	4					16	4	16	4	
 2 	Turati	Labrana 	1	0	13	1			14	1	14	1	
 3 	Chavatipon	Stearns 			1	0	11	1	12	1	14	2	
 4 	Rapolu	Perez-Mut 					0	0	0	0	0	1	

