

School:	Texas A&M			
Coach:	Mark Weaver	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Tatiana Makarova 	12	4	3	0									15	4	23	6	
 2 	Jayci Goldsmith 	2	2	9	7									11	9	13	10	
 3 	Katya Townsend 			2	0	9	6							11	6	18	9	
 4 	Dorthea Faa-Hviding 			1	0	2	0	7	6	3	0			13	6	14	7	
 5 	Renee McBryde 					1	0	3	2	10	1			14	3	17	4	
 6 	Riley McQuaid 									3	0	8	5	11	5	16	9	
 7 	Isa DiLaura 									1	0	2	1	3	1	5	2	
 8 	Elise Robbins 											1	0	1	0	6	3	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Tatiana Makarova	Jayci Goldsmith 	11	9	2	0			13	9	18	9	
 2 	Renee McBryde	Dorthea Faa-Hviding 			8	5			8	5	8	5	
 3 	Riley McQuaid	Katya Townsend 					5	3	5	3	7	3	
 4 	Isa DiLaura	Elise Robbins 					1	0	1	0	2	1	

