

School:	Texas Tech			
Coach:	Todd Petty	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Lisa Mays 	9	7	1	0									10	7	12	8	
 2 	Margarita Skriabina 			2	0	12	1	2	0					16	1	18	2	
 3 	Kaitlin Staines 	1	1	5	8									6	9	9	11	
 4 	Nell Miller 			0	1	3	1	11	4					14	6	16	10	
 5 	Olivia Peet 							1	0	9	6			10	6	12	6	
 6 	Metka Komac 							0	1	1	0	9	4	10	5	12	6	
 7 	Bojana Marinkov 									3	0	0	3	3	3	4	5	
 8 	Camryn Stepp 											0	2	0	2	2	5	
 9 	Kailey Evans 											0	0	0	0	3	2	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	kaitlin staines	lisa mays 	9	7					9	7	9	7	
 2 	Olivia Peet	Margarita Skriabina 			4	2			4	2	4	2	
 3 	Nell Miller	Metka Komac 					2	1	2	1	2	1	
 4 	Bojana Marinkov	Camryn Stepp 					0	0	0	0	0	0	

