

School:	UC Santa Barbara			
Coach:	Simon Thibodeau	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Elizaveta Volodko 	9	4											9	4	9	4	
 2 	Camille Kiss 			10	4									10	4	10	4	
 3 	Shakhnoza Khatamova 					15	2							15	2	15	2	
 4 	Lise Sentenac 							6	4	0	1	0	2	6	7	6	7	
 5 	Kira Reuter 							0	2	5	5			5	7	5	7	
 6 	Marta Gonzalez Ballbe 									1	1	6	3	7	4	7	4	
 7 																		
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Elizaveta Volodko	Lise Sentenac 	6	6					6	6	6	6	
 2 	Kira Reuter	Shakhnoza Khatamova 			8	3			8	3	8	3	
 3 	Camille Kiss	Marta Gonzalez Ballbe 					10	2	10	2	10	2	
 4											

