

School:	UCF			
Coach:	Bryan Koniecko	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Valeriya Zeleva 	9	2	3	0									12	2	13	3	
 2 	Rebeka Stolmar 	4	1	7	4	1	1							12	6	14	7	
 3 	Evgeniya Levashova 	1	1	3	2	6	2	1	0					11	5	11	5	
 4 	Ksenia Kuznetsova 			1	1	2	2	6	0	2	0			11	3	11	3	
 5 	Marie Mattel 					2	0	2	3	2	0	0	1	6	4	6	4	
 6 	Nadja Bay 					1	0	0	1	0	2			1	3	1	3	
 7 	Jaleesa Leslie 							2	1	6	2	5	1	13	4	13	5	
 8 	Nandini Sharma 									3	0	7	2	10	2	12	3	
 9 	Sara Culbertson 											1	1	1	1	1	1	
 10 	Marion Deloziere 											0	1	0	1	0	1	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Rebeka Stolmar	Marie Mattel 	4	7	1	0			5	7	5	7	
 2 	Ksenia Kuznetsova	Valeriya Zeleva 	4	3	8	0			12	3	12	3	
 3 	Evgeniya Levashova	Nadja Bay 			3	2	4	1	7	3	7	3	
 4 	Nandini Sharma	Jaleesa Leslie 			1	0	1	0	2	0	2	0	

