

School:	UCLA			
Coach:	Stella Sampras-Webster	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Abbey Forbes 	17	2	1	0									18	2	18	2	
 2 	Jada Hart 	1	0	8	1	2	1							11	2	11	2	
 3 	Elysia Bolton 	0	1	4	0	5	2							9	3	9	3	
 4 	Vivian Wolff 			1	0	0	2	9	4					10	6	10	6	
 5 	Sasha Vagramov 			2	0	1	2			5	3	1	0	9	5	9	5	
 6 	Vanessa Ong 									1	0	3	1	4	1	4	1	
 7 	Abi Altick 					2	0	2	2	0	1			4	3	4	3	
 8 	Annette Goulak 							2	0	5	1	7	2	14	3	14	3	
 9 	Taylor Johnson 											4	1	4	1	4	1	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Abbey Forbes	Jada Hart 	9	1					9	1	9	1	
 2 	Vivian Wolff	Annette Goulak 			16	2			16	2	16	2	
 3 	Elysia Bolton	Abi Altick 					3	0	3	0	3	0	
 4 	Taylor Johnson	Vanessa Ong 					0	0	0	0	0	0	

