

School:	UIC			
Coach:	Shannon tully	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Tamara Malazonia 	9	12	1	0									10	12	10	12	
 2 	Agnes Gustafsson 	0	2	14	2	1	0							15	4	15	4	
 3 	Lucie Prochazkova 			2	1	13	1							15	2	15	2	
 4 	Ana Jover 					5	1	13	2					18	3	18	3	
 5 	Georgia Gulin 							2	1	12	1	3	1	17	3	17	3	
 6 	Nell Arendt 					1	0	1	0	3	0	9	2	14	2	14	2	
 7 	Marina Hermanny 							1	0	1	0	2	0	4	0	4	0	
 8 	Tuva Wallin 					1	0	2	1	2	4	1	0	6	5	6	5	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Tamara Malazonia	Agnes Gustafsson 	6	3					6	3	6	3	
 2 	Lucie Prochazkova	Ana Jover 	1	1	9	0			10	1	10	1	
 3 	Nell Arendt	Marina Hermanny 	2	2					2	2	2	2	
 4 	Georgia Gulin	Tuva Wallin 	0	1					0	1	0	1	

