

School:	VCU			
Coach:	VIVIAN SEGNINI	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	PAOLA EXPOSITO DIAZ-DELGADO 	16	3											16	3	16	3	
 2 	LUMINITA TUTUNARU 			7	8	0	3							7	11	7	11	
 3 	ALESSIA CIUCA 			0	4	10	7							10	11	10	11	
 4 	GABRIELA DAVIDESCU 					1	0	9	8					10	8	10	8	
 5 	NOUMEA WITMUS 							4	1	9	3	0	2	13	6	13	6	
 6 	SHIVANI MANJANNA 									3	1	8	6	11	7	11	7	
 7 	LARA VAN DER MERWE 											2	1	2	1	2	1	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	LUMINITA TUTUNARU	GABRIELA DAVIDESCU 	7	5					7	5	7	5	
 2 	PAOLA EXPOSITO DIAZ-DELGADO	NOUMEA WITMUS 			13	8			13	8	13	8	
 3 	ALESSIA CIUCA	SHIVANI MANJANNA 					12	3	12	3	12	3	
 4											

