

School:	Virginia			
Coach:	Sara O'Leary	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Emma Navarro 	17	1											17	1	17	1	
 2 	Natasha Subhash 	1	0	14	4									15	4	15	5	
 3 	Rosie Johanson 			1	0	15	2							16	2	16	4	
 4 	Hibah Shaikh 					1	0	4	9	1	0			6	9	7	10	
 5 	Amber O'Dell 									1	3	9	4	10	7	10	9	
 6 	Vivian Glozman 							1	0	4	2	2	1	7	3	8	4	
 7 	Sofia Munera 							5	0	1	4	2	2	8	6	9	7	
 8 	Jourdan Krueger 											0	0	0	0	0	0	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Emma Navarro	Rosie Johanson 	7	6	2	2			9	8	9	8	
 2 	Sofia Munera	Natasha Subhash 	2	0	6	5			8	5	10	7	
 3 	Vivian Glozman	Hibah Shaikh 					1	1	1	1	1	2	
 4 	Amber O'Dell	Jourdan Krueger 					0	0	0	0	0	0	

