

School:	Wake Forest			
Coach:	Jeffrey Wyshner	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Carolyn Campana 	9	5											9	5	9	5	
 2 	Anna Campana 	2	4	4	6									6	10	6	10	
 3 	Anna Brylin 			1	4	10	3	1	1					12	8	12	8	
 4 	Eliza Omirou 					1	2	3	3	5	3			9	8	9	8	
 5 	Brooke Killingsworth 			2	3	1	4	3	6	1	1			7	14	7	14	
 6 	Casie Wooten 							1	0	4	4	7	3	12	7	12	7	
 7 	Peyton Pesavento 							1	3			2	3	3	6	3	6	
 8 	Mia Ahmad 									1	0	0	1	1	1	1	1	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Eliza Omirou	Carolyn Campana 	8	4	1	0			9	4	9	4	
 2 	Anna Brylin	Brooke Killingsworth 	6	1	7	4			13	5	13	5	
 3 	Peyton Pesavento	Anna Campana 					3	8	3	8	3	8	
 4 	Casie Wooten	Mia Ahmad 					0	0	0	0	0	0	

