

School:	Xavier			
Coach:	Doug Matthews	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Ahmeir Kyle 	10	3											10	3	10	3	
 2 	Kat Lyman 	0	2	10	1	3	0							13	3	13	3	
 3 	Anna Roggenburk 	3	0	5	1	7	2							15	3	15	3	
 4 	Imani Graham 			2	0	6	0	8	4					16	4	16	4	
 5 	Kaitlin Ruether 					1	1	3	1	2	6	0	4	6	12	6	12	
 6 	Emily Thomas 							1	2	5	2	2	0	8	4	8	4	
 7 	Lucy Octave 									2	2	1	2	3	4	3	4	
 8 	Blessing Nwaozuzu 											3	3	3	3	3	3	
 9 	Natalie Moyer 											0	3	0	3	0	3	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Ahmeir Kyle	Emily Thomas 	9	8					9	8	9	8	
 2 	Anna Roggenburk	Imani Graham 			3	1	7	1	10	2	10	2	
 3 	Kaitlin Ruether	Kat Lyman 			5	3	2	0	7	3	7	3	
 4 	Lucy Octave	Blessing Nwaozuzu 					1	0	1	0	1	0	

