seed	team	player	wins	losses	r2Id	masseyId	utrId	notes	drawLine	line
 1	UNC  	Alexa Graham                 	12	 2	411298	337263	  39501	AL		57
 1	UNC  	Alle Sanford                 	 5	 2	448680	337041	1872200	  		  
 1	UNC  	Anika Yarlagadda             	13	 1	510762	337043	  95680	  		  
 1	UNC  	Cameron Morra                	15	 6	488643	337267	  94694	AL		53
 1	UNC  	Elizabeth Scotty             	13	 3	520732	337039	  70039	  		  
 1	UNC  	Fiona Crawley                	27	 0	564453	337044	1609669	AL		37
 1	UNC  	Kacie Harvey                 	 3	 1	510761	337038	 223145	  		  
 1	UNC  	Makenna Jones                	15	 2	419691	337045	1500488	AL		23
 1	UNC  	Reilly Tran                  	17	 0	564465	337046	2588539	  		  
 1	UNC  	Sara Daavettila              	16	 1	400079	337265	  46642	AQ		 1
 1	UNC  	Sara McClure                 	 0	 1	564464	      	  96425	  		  
 1	UNC  	Sophia Patel                 	 0	 2	486925	337040	1620214	  		  
 2	TEX  	Anna Turati                  	17	 3	459000	337207	  64382	AL		14
 2	TEX  	Charlotte Chavatipon         	25	 1	562071	336664	  96391	  		  
 2	TEX  	Fernanda Labraña             	22	 2	424273	336661	1742438	  		  
 2	TEX  	Gabby Cusano                 	 1	 7	513072	336659	1970164	  		  
 2	TEX  	Kylie Collins                	17	 2	564774	337208	2154945	  		  
 2	TEX  	Lulu Sun                     	19	 2	562075	337206	2031220	ALT		  
 2	TEX  	Malaika Rapolu               	25	 2	562073	336666	 129177	  		  
 2	TEX  	Marta Perez-Mur              	 9	 2	440885	336662	2587908	  		  
 2	TEX  	Peyton Stearns               	14	 6	562074	336655	2588012	AL		62
 2	TEX  	Simran Kortikere             	 0	 8	562072	336668	 104782	  		  
 2	TEX  	Tijana Spasojevic            	 1	 0	486164	341739	 154107	  		  
 3	UGA  	Alee Clayton                 	 8	 3	487383	336779	 113339	  		  
 3	UGA  	Anna Hertel                  	10	 4	522068	336784	1742422	  		  
 3	UGA  	Ariana Arsenault             	 6	 5	561619	336762	1763423	  		  
 3	UGA  	Eleni Christofi              	18	 4	397208	336764	  94453	  		  
 3	UGA  	Katarina Jokic               	25	 1	419539	336778	2583619	AQ		48
 3	UGA  	Lea Ma                       	15	 4	513316	337324	1905240	AL		 4
 3	UGA  	Marta Gonzalez               	12	 1	410824	336775	2687357	ALT		  
 3	UGA  	Meg Kowalski                 	22	 2	487384	336782	1708886	AL		24
 3	UGA  	Morgan Coppoc                	25	 5	398734	336773	1531529	  		  
 4	UCLA 	Abi Altick                   	 4	 3	385396	339115	 947384	  		  
 4	UCLA 	Abigail Forbes               	19	 2	512054	337617	1682354	AQ		56
 4	UCLA 	Alexandra Vagramov           	 9	 5	512057	339117	1912195	  		  
 4	UCLA 	Annette Goulak               	16	 3	512056	337679	  76910	  		  
 4	UCLA 	Elysia Bolton                	 9	 3	489254	337619	  77017	  		  
 4	UCLA 	Jada Hart                    	11	 2	413959	338608	2612442	AL		12
 4	UCLA 	Taylor Johnson               	 5	 1	498065	339118	 205639	  		  
 4	UCLA 	Vanessa Ong                  	 5	 1	564428	337620	2062589	  		  
 4	UCLA 	Vivian Wolff                 	11	 6	564429	338609	  74107	  		  
 5	PEPP 	Ashley Lahey                 	11	 4	424436	337681	 260415	AL		39
 5	PEPP 	Astrid Brune Olsen           	 6	 1	514453	341602	2627013	  		  
 5	PEPP 	Jessica Failla               	15	 3	405704	337646	1529701	AQ		 7
 5	PEPP 	Lexi Ryngler                 	 3	 5	564447	337684	2668046	  		  
 5	PEPP 	Lisa Zaar                    	20	 1	514467	338409	2621757	  		  
 5	PEPP 	Nikki Redelijk               	13	 7	565228	337648	  96353	  		  
 5	PEPP 	Shiori Fukuda                	16	 4	564446	337682	  86312	  		  
 5	PEPP 	Taisya Pachkaleva            	23	 1	564448	337647	 245349	  		  
 6	NCST 	Abigail Rencheli             	14	 5	564363	337002	2103268	  		  
 6	NCST 	Adriana Reami                	17	10	444430	336992	  41504	  		  
