seed	team	name
 1	UNC  	Alexa Graham
 1	UNC  	Alle Sanford
 1	UNC  	Anika Yarlagadda
 1	UNC  	Anna Harmon
 1	UNC  	Cameron Morra
 1	UNC  	Elizabeth Scotty
 1	UNC  	Fiona Crawley
 1	UNC  	Kacie Harvey
 1	UNC  	Makenna Jones
 1	UNC  	Reilly Tran
 1	UNC  	Sara Daavettila
 1	UNC  	Sara McClure
 1	UNC  	Sophia Patel
 2	TEX  	Anna Turati
 2	TEX  	Charlotte Chavatipon
 2	TEX  	Chavatipon
 2	TEX  	Collins
 2	TEX  	Fernanda Labrana
 2	TEX  	Kylie Collins
 2	TEX  	Labrana
 2	TEX  	Lulu Sun
 2	TEX  	Malaika Rapolu
 2	TEX  	marta perez mur
 2	TEX  	Perez-Mut
 2	TEX  	Peyton Stearns
 2	TEX  	Rapolu
 2	TEX  	Stearns
 2	TEX  	Sun
 2	TEX  	Tijana Spasojevic
 2	TEX  	Turati
 3	UGA  	Alee Clayton
 3	UGA  	Anna Hertel
 3	UGA  	Ariana Arseneault
 3	UGA  	Elena Christofi
 3	UGA  	Katarina Jokic
 3	UGA  	Lea Ma
 3	UGA  	Marta Gonzalez
 3	UGA  	Meg Kowalski
 3	UGA  	Morgan Coppoc
 4	UCLA 	Abbey Forbes
 4	UCLA 	Abi Altick
 4	UCLA 	Annette Goulak
 4	UCLA 	Elysia Bolton
 4	UCLA 	Jada Hart
 4	UCLA 	Sasha Vagramov
 4	UCLA 	Taylor Johnson
 4	UCLA 	Vanessa Ong
 4	UCLA 	Vivian Wolff
 5	PEPP 	Anastasia Iamachkine
 5	PEPP 	Ashley Lahey
 5	PEPP 	Astrid Olsen
 5	PEPP 	Jessica Failla
 5	PEPP 	Lexi Ryngler
 5	PEPP 	Lisa Zaar
 5	PEPP 	LIsa Zaar
 5	PEPP 	Nikki Redelijk
 5	PEPP 	Shiori Fukuda
 5	PEPP 	Taisiya Pachkaleva
 6	NCST 	Abigail Rencheli
 6	NCST 	Adriana Reami
 6	NCST 	Alana Smith
 6	NCST 	Anna Rogers
 6	NCST 	Jaeda Daniel
 6	NCST 	Lana Mavor
 6	NCST 	Lexi Keberle
 6	NCST 	Liz Norman
 6	NCST 	Millie Rajecki
 7	FSU  	Alice Amendola
 7	FSU  	Andrea Garcia
 7	FSU  	Anna Arkadianou
 7	FSU  	Emmanuelle Salas
 7	FSU  	Giulia Pairone
 7	FSU  	Nandini Das
 7	FSU  	Petra Hule
 7	FSU  	Victoria Allen
 8	BAY  	Alicia Herrero
 8	BAY  	Angie Shakhraichuck
 8	BAY  	Audrey Boch-Collins
 8	BAY  	Baranano
 8	BAY  	Boch-Collins
 8	BAY  	Hannah Pinto
 8	BAY  	Herrero
 8	BAY  	Hinojosa
 8	BAY  	Jessica Hinojosa
 8	BAY  	Kristina Sorokolet
 8	BAY  	Krywoj
 8	BAY  	Melany Krywoj
 8	BAY  	Paula Baranano
 8	BAY  	Sara Ziodato
 8	BAY  	Shakhraichuk
 8	BAY  	Sorokolet
 8	BAY  	Ziodato
 9	UCF  	Evgeniya Levashova
 9	UCF  	Jaleesa Leslie
 9	UCF  	Ksenia Kuznetsova
 9	UCF  	Marie Mattel
 9	UCF  	Marion Deloziere
 9	UCF  	Nadja Bay
 9	UCF  	Nandini Sharma
