contestId	matchnum	date	timeStr	roundNum	home	visitor	winner	score	status	title	time
5833648	102	2021-05-07	10:00 EDT	1			home	4-2	final	Arkansas vs Old Dominion	2021-05-07T10:00-04:00
5833664	118	2021-05-07	10:00 EDT	1			home	4-2	final	Furman vs Wake Forest	2021-05-07T10:00-04:00
5833668	122	2021-05-07	10:00 EDT	1			visitor	4-3	final	Southern California vs Oklahoma	2021-05-07T10:00-04:00
5833657	111	2021-05-07	11:00 EDT	1			home	4-1	final	Rice vs Michigan	2021-05-07T11:00-04:00
5833660	114	2021-05-07	11:00 EDT	1			visitor	4-3	final	North Florida vs Ole Miss	2021-05-07T11:00-04:00
5833669	123	2021-05-07	11:00 EDT	1			visitor	4-2	final	Iowa St. vs South Carolina	2021-05-07T11:00-04:00
5833676	130	2021-05-07	11:00 EDT	1			home	4-0	final	Ball St. vs Vanderbilt	2021-05-07T11:00-04:00
5833652	106	2021-05-07	12:00 EDT	1			home	4-0	final	FIU vs Miami (FL)	2021-05-07T12:00-04:00
5833665	119	2021-05-07	12:00 EDT	1			home	4-0	final	James Madison vs Tennessee	2021-05-07T12:00-04:00
5833647	101	2021-05-07	1:00 EDT	1			home	4-0	final	South Carolina St. vs #1 North Carolina	2021-05-07T13:00-04:00
5833649	103	2021-05-07	1:00 EDT	1			home	4-3	final	Syracuse vs Kentucky	2021-05-07T13:00-04:00
5833656	110	2021-05-07	1:00 EDT	1			home	4-0	final	UC Santa Barbara vs Stanford	2021-05-07T13:00-04:00
5833662	116	2021-05-07	1:00 EDT	1			home	4-0	final	Grand Canyon vs #4 UCLA	2021-05-07T13:00-04:00
5833663	117	2021-05-07	1:00 EDT	1			home	4-0	final	Austin Peay vs #3 Georgia	2021-05-07T13:00-04:00
5833667	121	2021-05-07	1:00 EDT	1			home	4-0	final	Siena vs #11 Florida	2021-05-07T13:00-04:00
5833672	126	2021-05-07	1:00 EDT	1			home	4-2	final	Oklahoma St. vs Auburn	2021-05-07T13:00-04:00
5833674	128	2021-05-07	1:00 EDT	1			home	4-0	final	Drake vs #10 Texas A&M	2021-05-07T13:00-04:00
5833677	131	2021-05-07	1:00 EDT	1			home	4-0	final	Mississippi St. vs Arizona St.	2021-05-07T13:00-04:00
5833658	112	2021-05-07	2:00 EDT	1			home	4-0	final	Boston U. vs #12 LSU	2021-05-07T14:00-04:00
5833659	113	2021-05-07	2:00 EDT	1			home	4-0	final	Ga. Southern vs #13 Georgia Tech	2021-05-07T14:00-04:00
5833670	124	2021-05-07	2:00 EDT	1			home	4-0	final	VCU vs #6 NC State	2021-05-07T14:00-04:00
5833675	129	2021-05-07	2:00 EDT	1			home	4-0	final	UIC vs #15 Ohio St.	2021-05-07T14:00-04:00
5833651	105	2021-05-07	3:00 EDT	1			home	4-0	final	Charleston So. vs #9 UCF	2021-05-07T15:00-04:00
5833653	107	2021-05-07	3:00 EDT	1			home	4-0	final	Alabama vs Duke	2021-05-07T15:00-04:00
5833666	120	2021-05-07	3:00 EDT	1			home	4-0	final	LIU vs #14 Virginia	2021-05-07T15:00-04:00
5833650	104	2021-05-07	4:00 EDT	1			home	4-0	final	San Jose St. vs #16 California	2021-05-07T16:00-04:00
5833661	115	2021-05-07	4:00 EDT	1			home	4-0	final	San Diego vs Texas Tech	2021-05-07T16:00-04:00
5833671	125	2021-05-07	4:00 EDT	1			home	4-0	final	Alabama St. vs #7 Florida St.	2021-05-07T16:00-04:00
5833673	127	2021-05-07	4:00 EDT	1			home	4-0	final	Xavier vs Northwestern	2021-05-07T16:00-04:00
5833678	132	2021-05-07	4:00 EDT	1			home	4-0	final	Denver vs #2 Texas	2021-05-07T16:00-04:00
5833655	109	2021-05-07	5:00 EDT	1			home	4-0	final	Northern Ariz. vs #5 Pepperdine	2021-05-07T17:00-04:00
5833654	108	2021-05-07	6:00 EDT	1			home	4-0	final	A&M-Corpus Christi vs #8 Baylor	2021-05-07T18:00-04:00
5833693	215	2021-05-08	12:00 EDT	2			home	4-3	final	Vanderbilt vs #15 Ohio St.	2021-05-08T12:00-04:00
5833692	214	2021-05-08	1:00 EDT	2			home	4-1	final	Northwestern vs #10 Texas A&M	2021-05-08T13:00-04:00
5833684	206	2021-05-08	2:00 EDT	2			visitor	4-3	final	Michigan vs #12 LSU	2021-05-08T14:00-04:00
5833685	207	2021-05-08	2:00 EDT	2			home	4-0	final	North Florida vs #13 Georgia Tech	2021-05-08T14:00-04:00
5833690	212	2021-05-08	2:00 EDT	2			home	4-2	final	Iowa St. vs #6 NC State	2021-05-08T14:00-04:00
5833686	208	2021-05-08	3:00 EDT	2			home	4-0	final	Texas Tech vs #4 UCLA	2021-05-08T15:00-04:00
