date	winner	loser	where	score
20210507	ODU  	ARK  	N	4-2
20210507	WAKE 	FUR  	N	4-2
20210507	USC  	OKLA 	N	4-3
20210507	MICH 	RICE 	N	4-1
20210507	UNF  	MISS 	N	4-3
20210507	ISU  	SCAR 	N	4-2
20210507	VANDY	BALL 	N	4-0
20210507	MIA  	FIU  	N	4-0
20210507	TENN 	JMU  	N	4-0
20210507	UNC  	SCST 	H	4-0
20210507	UK   	SYR  	N	4-3
20210507	STAN 	UCSB 	N	4-0
20210507	UCLA 	GCU  	H	4-0
20210507	UGA  	PEAY 	H	4-0
20210507	FLA  	SIEN 	H	4-0
20210507	AUB  	OKST 	N	4-2
20210507	A&M  	DRKE 	N	4-0
20210507	AZST 	MSST 	N	4-0
20210507	LSU  	BU   	H	4-0
20210507	GT   	GASO 	H	4-0
20210507	NCST 	VCU  	H	4-0
20210507	OSU  	UIC  	H	4-0
20210507	UCF  	CHSO 	H	4-0
20210507	DUKE 	BAMA 	N	4-0
20210507	UVA  	LIU  	H	4-0
20210507	CAL  	SJSU 	H	4-0
20210507	TTU  	USD  	N	4-0
20210507	FSU  	ALST 	H	4-0
20210507	NW   	XAV  	H	4-0
20210507	TEX  	DEN  	H	4-0
20210507	PEPP 	NAU  	H	4-0
20210507	BAY  	TAMCC	H	4-0
20210508	OSU  	VANDY	H	4-3
20210508	A&M  	NW   	A	4-1
20210508	MICH 	LSU  	A	4-3
20210508	GT   	UNF  	H	4-0
20210508	NCST 	ISU  	H	4-2
20210508	UCLA 	TTU  	H	4-0
20210508	UNC  	ODU  	H	4-0
20210508	CAL  	UK   	H	4-2
20210508	PEPP 	STAN 	H	4-2
20210508	UGA  	WAKE 	H	4-1
20210508	UVA  	TENN 	H	4-0
20210508	USC  	FLA  	A	4-1
20210508	FSU  	AUB  	H	4-1
20210508	TEX  	AZST 	H	4-0
20210508	UCF  	MIA  	H	4-1
20210508	DUKE 	BAY  	A	4-3
20210516	UGA  	UVA  	N	4-1
20210516	NCST 	USC  	N	4-1
20210516	FSU  	A&M  	N	4-2
20210516	TEX  	OSU  	N	4-1
20210516	PEPP 	MICH 	N	4-0
20210516	UCLA 	GT   	N	4-0
20210516	DUKE 	UCF  	A	4-3
20210516	UNC  	CAL  	N	4-0
20210519	NCST 	UGA  	N	4-2
20210519	TEX  	FSU  	N	4-0
