matchNum	line		round	date	time	seed	team	last	name	set1	set1tb	set2	set2tb	set3	set3tb	set4	set4tb	set5	set5tb	sets	def	x	y	rating	ewp	utr		ita	teamId	tickerName	id
401	1		64	5/23/2021	12:00pm	1	UNC	Daavettila	Sara Daavettila	3		6		6						2		◀		99.25	74%	10.96	2	1		Sara Daavettila	400079
401	2		64	5/23/2021	12:00pm		USD	Colling	Solymar Colling	6		1		3						1				97.42	26%	10.78	48	35		Solymar Colling	493373
402	1		64	5/23/2021	11:30am		UCF	Stolmar	Rebeka Stolmar	1		4								0				93.96	18%	10.34	38	78		Rebeka Stolmar	455036
402	2		64	5/23/2021	11:30am		UGA	Ma	Lea Ma	6		6								2		◀		96.61	82%	10.77	55	26		Lea	513316
403	1		64	5/23/2021	2:30pm	9	WAKE	Campana	Carolyn Campana	0		6		3						1				96.23	87%	10.48	15	31		Carolyn Campana	509935
403	2		64	5/23/2021	2:30pm		ODU	Starodubsteva	Yulia Starodubsteva	6		4		6						2		◀		92.91	13%	10.36	51	105		Yulia Starodubsteva	454355
404	1		64	5/23/2021	5:00pm		PEPP	Failla	Jessica Failla	7	7	7	7							2		◀		97.91	93%	11.03	21	9		Jessica Failla	405704
404	2		64	5/23/2021	5:00pm		DEN	Riedmiller	Anna Riedmiller	6	5	6	4							0				93.32	7%	10.19	106	49		Anna Riedmiller	445479
405	1		64	5/23/2021	12:30pm	8	FLA	Kessler	McCartney Kessler	6		6								2		◀		97.90	61%	10.89	8	10		McCartney Kessler	421536
405	2		64	5/23/2021	12:30pm		WASH	Wong	Vanessa Wong	3		2								0				97.11	39%	10.74	24	25		Vanessa Wong	464666
406	1		64	5/23/2021	12:30pm		DUKE	Chen	Kelly Chen	2		7	7	7						2		◀		95.41	27%	10.53	49	55		Kelly Chen	396686
406	2		64	5/23/2021	12:30pm		UCLA	Hart	Jada Hart	6		6	1	5						1				97.12	73%	10.87	50	17		Jada Hart	413959
407	1		64	5/23/2021	4:30pm	9	MIA	Pfennig	Isabella Pfennig	3		6		6						2		◀		94.37	21%	10.58	10	56		Isabella Pfennig	564946
407	2		64	5/23/2021	4:30pm		TEX	Turati	Anna Turati	6		1		2						1				96.62	79%	10.91	35	28		Anna Turati	459000
408	1		64	5/23/2021	5:30pm		FSU	Salas	Emmanuelle Salas	5		3								0				92.42	25%	10.41	44	148		Emmanuelle Salas	485585
408	2		64	5/23/2021	5:30pm		VANDY	Rosca	Christina Rosca	7		6								2		◀		94.34	75%	10.63	43	53		Christina Rosca	446912
409	1		64	5/23/2021	2:30pm	3	UVA	Navarro	Emma Navarro	7	7	6								2		◀		99.39	88%	11.35	3	2		Emma Navarro	564450
409	2		64	5/23/2021	2:30pm		CAL	Giavara	Haley Giavara	6	3	2								0				95.96	12%	10.40	31	34		Haley Giavara	513644
410	1		64	5/23/2021	3:00pm		AZST	Hattingh	Ilze Hattingh	6		7	7							2		◀		94.94	71%	10.29	78	62		Ilze Hattingh	414211
410	2		64	5/23/2021	3:00pm		SCAR	Davies	Megan Davies	3		6	3							0				93.42	29%	10.48	59	86		Megan Davies	400669
411	1		64	5/23/2021	2:30pm	9	FUR	Kozarov	Katarina Kozarov	6		6								2		◀		97.75	66%	10.65	16	7		Katarina Kozarov	423350
411	2		64	5/23/2021	2:30pm		STAN	Gordon	Michaela Gordon	0		2								0				96.56	34%	10.78	34	38		Michaela Gordon	411023
412	1		64	5/23/2021	1:30pm		UNC	Jones	Makenna Jones	2		2								0				94.83	35%	10.65	32	29		Makenna Jones	419691
412	2		64	5/23/2021	1:30pm		UGA	Kowalski	Meg Kowalski	6		6								2		◀		95.90	65%	10.76	20	27		Meg Kowalski	487384
413	1		64	5/23/2021	10:00am	5	GT	Jones	Kenya Jones	5		3								0				97.37	85%	10.75	5	15		Kenya Jones	419665
413	2		64	5/23/2021	10:00am		AUB	Ovunc	Selin Ovunc	7		6								2		◀		94.31	15%	10.27	61	68		Selin Ovunc	514698
414	1		64	5/23/2021	10:00am		OKST	Wolfberg	Alana Wolfberg	5		5								0				93.65	45%	10.54	58	97		Alana Wolfberg	513080
414	2		64	5/23/2021	10:00am		MIZZ	Murgett	Bronte Murgett	7		7								2		◀		94.00	55%	10.46	47	81		Bronte Murgett	526971
415	1		64	5/23/2021	2:00pm	9	IOWA	Noel	Alexa Noel	6		4		7						2		◀		99.92	95%	10.93	14	5		Alexa Noel	564451
415	2		64	5/23/2021	2:00pm		NCST	Smith	Alana Smith	4		6		5						1				94.64	5%	10.60	23	65		Alana Smith	486136
416	1		64	5/23/2021	2:00pm		LSU	Corley	Paris Corley	6		6	5	6						2		◀		93.70	75%		60	64		Paris Corley	486238
