matchNum	line	round	date	time	seed	team	last	name	set1	set1tb	set2	set2tb	set3	set3tb	set4	set4tb	set5	set5tb	sets	def	rating	ewp	utr	ita	texas	teamId	tickerName	id	rowIndex
401	1	64	2021-05-22	0.5	1	UNC	Daavettila	Sara Daavettila	3		6		6						2		99.252	0.7422052705619772	10.96	2	1		Daavettila, Sara (UNC)	400079	2
401	2	64	2021-05-22	0.5		USD	Colling	Solymar Colling	6		1		3						1		97.415	0.25779472943802273	10.78	48	35		Colling, Solymar (USD)	493373	3
402	1	64	2021-05-22	0.4791666666666667		UCF	Stolmar	Rebeka Stolmar	1		4										93.962	0.17916591171582555	10.34	38	78		Stolmar, Rebeka (UCF)	455036	4
402	2	64	2021-05-22	0.4791666666666667		UGA	Ma	Lea Ma	6		6								2		96.606	0.8208340882841745	10.77	55	26		Ma, Lea (UGA)	513316	5
403	1	64	2021-05-22	0.6041666666666666	9	WAKE	Campana	Carolyn Campana	0		6		3						1		96.227	0.8712769749891273	10.48	15	31		Campana, Carolyn (WF)	509935	6
403	2	64	2021-05-22	0.6041666666666666		ODU	Starodubsteva	Yulia Starodubsteva	6		4		6						2		92.905	0.12872302501087265	10.36	51	105		Starodubsteva, Yulia (ODU)	454355	7
404	1	64	2021-05-22	0.7083333333333334		PEPP	Failla	Jessica Failla	7	7	7	7							2		97.905	0.93338660561647	11.03	21	9		Failla, Jessica (PEP)	405704	8
404	2	64	2021-05-22	0.7083333333333334		DEN	Riedmiller	Anna Riedmiller	6	5	6	4									93.319	0.06661339438352992	10.19	106	49		Riedmiller, Anna (DEN)	445479	9
405	1	64	2021-05-22	0.5208333333333334	8	FLA	Kessler	McCartney Kessler	6		6								2		97.904	0.6119072122051027	10.89	8	10		Kessler, McCartney (UF)	421536	10
405	2	64	2021-05-22	0.5208333333333334		WASH	Wong	Vanessa Wong	3		2										97.113	0.38809278779489736	10.74	24	25		Wong, Vanessa (WA)	464666	11
406	1	64	2021-05-22	0.5208333333333334		DUKE	Chen	Kelly Chen	2		7	7	7						2		95.413	0.2719145067670944	10.53	49	55		Chen, Kelly (DUK)	396686	12
406	2	64	2021-05-22	0.5208333333333334		UCLA	Hart	Jada Hart	6		6	1	5						1		97.124	0.7280854932329056	10.87	50	17		Hart, Jada (CLA)	413959	13
