notes	seed	line	last	id	teamId	team	name	wins	losses	slamRnk	slam	itaRnk	ita	utr	texas	tickerName	masseyId	utrId
AQ	1	1	Daavettila	400079		UNC	Sara Daavettila	15	1	5	99.252	2	64.167	10.96	1	Daavettila, Sara (UNC)	337265	46642
		2	Colling	493373		USD	Solymar Colling	14	4	13	97.415	48	12.758	10.78	35	Colling, Solymar (USD)	338927	72099
		3	Stolmar	455036		UCF	Rebeka Stolmar	12	6	72	93.962	38	15.815	10.34	78	Stolmar, Rebeka (UCF)	337582	2089984
		4	Ma	513316		UGA	Lea Ma	14	4	21	96.606	55	11.138	10.77	26	Ma, Lea (UGA)	337324	1905240
	9	5	Campana	509935		WAKE	Carolyn Campana	9	5	27	96.227	15	28.61	10.48	31	Campana, Carolyn (WF)	339199	66827
AQ		6	Starodubsteva	454355		ODU	Yulia Starodubsteva	11	1	108	92.905	51	11.963	10.36	105	Starodubsteva, Yulia (ODU)	338002	2559746
AQ		7	Failla	405704		PEPP	Jessica Failla	14	3	8	97.905	21	23.38	11.03	9	Failla, Jessica (PEP)	337646	1529701
AQ		8	Riedmiller	445479		DEN	Anna Riedmiller	14	1	91	93.319	106	4.703	10.19	49	Riedmiller, Anna (DEN)	337485	925725
	8	9	Kessler	421536		FLA	McCartney Kessler	16	2	9	97.904	8	45.577	10.89	10	Kessler, McCartney (UF)	336945	251050
		10	Wong	464666		WASH	Vanessa Wong	18	4	17	97.113	24	21.937	10.74	25	Wong, Vanessa (WA)	338013	83224
		11	Chen	396686		DUKE	Kelly Chen	10	11	41	95.413	49	12.424	10.53	55	Chen, Kelly (DUK)	336995	50623
		12	Hart	413959		UCLA	Jada Hart	11	2	16	97.124	50	12.214	10.87	17	Hart, Jada (CLA)	338608	2612442
	9	13	Pfennig	564946		MIA	Isabella Pfennig	16	4	60	94.371	10	32.524	10.58	56	Pfennig, Isabella (MIA)	337447	1972317
		14	Turati	459000		TEX	Anna Turati	17	3	20	96.623	35	17.309	10.91	28	Turati, Anna (TEX)	337207	64382
		15	Salas	485585		FSU	Emmanuelle Salas	7	10	128	92.415	44	14.348	10.41	148	Salas, Emmanuelle (FSU)	337325	83967
