set1	set1tb	set2	set2tb	set3	set3tb
3		6		6	
6		1		3	
1		4			
6		6			
0		6		3	
6		4		6	
7	7	7	7		
6	5	6	4		
6		6			
3		2			
2		7	7	7	
6		6	1	5	
3		6		6	
6		1		2	
5		3			
7		6			
7	7	6			
6	3	2			
6		7	7		
3		6	3		
6		6			
0		2			
2		2			
6		6			
5		3			
7		6			
5		5			
7		7			
6		4		7	
4		6		5	
6		6	5	6	
2		7	7	3	
6		6			
0		3			
3		6		7	
6		3		5	
5		5			
7		7			
5		6		3	
7		4		6	
4		6		6	
6		4		1	
6		6			
4		4			
2		2			
6		6			
1		6	5		
6		7	7		
7		6			
5		0			
6		6			
4		4			
2		3			
6		6			
3		6	5		
6		7	7		
6		6			
1		0			
7		4		1	
5		6		6	
2		3			
6		6			
2		3			
6		6			
6		6			
4		4			
0		0			
6		6			
4		4			
6		6			
6		2		3	
2		6		6	
1		7		6	
6		5		0	
5		4			
7		6			
3		7		6	
6		5		2	
6		3		5	
1		6		7	
5		2			
7		6			
2		6		4	
6		4		6	
6		6			
2		4			
6		6			
1		4			
7	7	4		4	
6	2	6		6	
3		4			
6		6			
6	6	6		6	
7	8	0		1	
2		4			
6		6			
6		6			
3		2			
6		4		2	
4		6		6	
6		6			
1		1			
4		0			
6		6			
7		4		1	
5		6		6	
2		4			
6		6			
3		3			
6		6			
3		3			
6		6			
6		4			
2		2			
6		6			
2		1			
2		3			
6		6			
7	7				
6	5				
					
					
					
					
					
					
