id	team	name	tickerName
400079	UNC  	Sara Daavettila       	Daavettila, Sara (UNC)       
493373	USD  	Solymar Colling       	Colling, Solymar (USD)       
455036	UCF  	Rebeka Stolmar        	Stolmar, Rebeka (UCF)        
513316	UGA  	Lea Ma                	Ma, Lea (UGA)                
509935	WAKE 	Carolyn Campana       	Campana, Carolyn (WF)        
454355	ODU  	Yulia Starodubsteva   	Starodubsteva, Yulia (ODU)   
405704	PEPP 	Jessica Failla        	Failla, Jessica (PEP)        
445479	DEN  	Anna Riedmiller       	Riedmiller, Anna (DEN)       
421536	FLA  	McCartney Kessler     	Kessler, McCartney (UF)      
464666	WASH 	Vanessa Wong          	Wong, Vanessa (WA)           
396686	DUKE 	Kelly Chen            	Chen, Kelly (DUK)            
413959	UCLA 	Jada Hart             	Hart, Jada (CLA)             
564946	MIA  	Isabella Pfennig      	Pfennig, Isabella (MIA)      
459000	TEX  	Anna Turati           	Turati, Anna (TEX)           
485585	FSU  	Emmanuelle Salas      	Salas, Emmanuelle (FSU)      
446912	VANDY	Christina Rosca       	Rosca, Christina (VU)        
564450	UVA  	Emma Navarro          	Navarro, Emma (UVA)          
513644	CAL  	Haley Giavara         	Giavara, Haley (CAL)         
414211	AZST 	Ilze Hattingh         	Hattingh, Ilze (ASU)         
400669	SCAR 	Megan Davies          	Davies, Megan (SC)           
423350	FUR  	Katarina Kozarov      	Kozarov, Katarina (FUR)      
411023	STAN 	Michaela Gordon       	Gordon, Michaela (STA)       
419691	UNC  	Makenna Jones         	Jones, Makenna (UNC)         
487384	UGA  	Meg Kowalski          	Kowalski, Meg (UGA)          
419665	GT   	Kenya Jones           	Jones, Kenya (GT)            
514698	AUB  	Selin Ovunc           	Ovunc, Selin (AU)            
513080	OKST 	Alana Wolfberg        	Wolfberg, Alana (OKS)        
526971	MIZZ 	Bronte Murgett        	Murgett, Bronte (MIZ)        
564451	IOWA 	Alexa Noel            	Noel, Alexa (IA)             
486136	NCST 	Alana Smith           	Smith, Alana (NCS)           
486238	LSU  	Paris Corley          	Corley, Paris (LSU)          
424183	XAV  	Ahmeir Kyle           	Kyle, Ahmeir (XAV)           
509929	WAKE 	Anna Campana          	Campana, Anna (WF)           
486239	LSU  	Taylor Bridges        	Bridges, Taylor (LSU)        
497414	OKST 	Bunyawi Thamchaiwat   	Thamchaiwat, Bunyawi (OKS)   
564454	SYR  	Viktoriya Kanapatskaya	Kanapatskaya, Viktoriya (SYR)
564453	UNC  	Fiona Crawley         	Crawley, Fiona (UNC)         
514025	UMD  	Ayana Akli            	Akli, Ayana (MD)             
424436	PEPP 	Ashley Lahey          	Lahey, Ashley (PEP)          
446522	NCST 	Anna Rogers           	Rogers, Anna (NCS)           
564359	DUKE 	Georgia Drummy        	Drummy, Georgia (DUK)        
428629	MISS 	Sabina Machalova      	Machalova, Sabina (OM)       
564380	MICH 	Kari Miller           	Miller, Kari (MI)            
407152	GT   	Victoria Flores       	Flores, Victoria (GT)        
561985	ARK  	Indianna Spink        	Spink, Indianna (ARK)        
565743	ORE  	Janice Tjen           	Tjen, Janice (ORE)           
510745	UCSB 	Shakhnoza Khatmova    	Khatamova, Shakhnoza (CSB)   
419539	UGA  	Katarina Jokic        	Jokic, Katarina (UGA)        
416702	SCAR 	Mia Horvit            	Horvit, Mia (SC)             
401582	VCU  	Paola Delgado         	Delgado, Paola (VCU)         
486811	MSST 	Emma Antonaki         	Antonaki, Emma (MST)         
564449	FSU  	Giulia Pairone        	Pairone, Giulia (FSU)        
488643	UNC  	Cameron Morra         	Morra, Cameron (UNC)         
511553	OSU  	Irina Cantos Siemers  	Cantos Siemers, Irina (OSU)        
514741	DUKE 	Chloe Beck            	Beck, Chloe (DUK)            
512054	UCLA 	Abigail Forbes        	Forbes, Abigail (CLA)        
411298	UNC  	Alexa Graham          	Graham, Alexa (UNC)          
439682	UK   	Akvilė Paražinskaitė  	Parazinskaite, Akvile (UK)   
497367	UCF  	Valeriya Zeleva       	Zeleva, Valeriya (UCF)       
511574	UVA  	Natasha Subhash       	Subhash, Natasha (UVA)       
514440	A&M  	Tatiana Makarova      	Makarova, Tatiana (TAM)      
562074	TEX  	Peyton Stearns        	Stearns, Peyton (TEX)        
485966	USC  	Salma Ewing           	Ewing, Salma (USC)           
440887	MIA  	Estela Perez-Somarriba	Perez-Somarriba, Estela (MIA)
396854	DUKE 	Meible Chi            	Chi, Meible (DUK)            
410824	UGA  	Marta Gonzalez        	Gonzalez, Marta (UGA)        
562075	TEX  	Lulu Sun              	Sun, Lulu (TEX)              
564055	OKLA 	Dana Guzman           	Guzman, Dana (OKLA)          
521320	OKLA 	Carmen Corley         	Corley, Carmen (OKLA)        
509808	USC  	Eryn Cayetano         	Cayetano, Eryn (USC)         
512400	STAN 	Angelica Blake        	Blake, Angelica (STA)        
